S_ime,R_time,Processors,sigma,id,type,Max_resource,Min_resource,Total_cost
0,487.133589,2,0.245417,2,1,2,2,974.267178
8.134504,22.746667,2,0.972174,3,1,2,2,45.493334
13.318962,787.996298,3,0.560986,4,1,3,3,2363.988894
23.974203,2699.441216,10,0.880554,5,1,10,10,26994.41216
42.997459,13.389669,13,0.752653,6,1,13,13,174.065697
53.119454,5.244419,8,0.453731,7,1,8,8,41.955352
128.839676,72.282789,10,0.46404,8,1,10,10,722.82789
168.915177,6.454624,19,1.134929,9,1,19,19,122.637856
220.205751,199.999205,3,1.169688,10,1,3,3,599.997615
252.343465,103.80314,9,0.146437,11,1,9,9,934.22826
325.298999,2710.316316,2,1.691955,12,1,2,2,5420.632632
340.715975,1143.807995,3,0.438828,13,1,3,3,3431.423985
430.775327,164.140789,3,1.433392,14,1,3,3,492.422367
446.846352,14.411048,25,0.879695,15,1,25,25,360.2762
502.492682,4043.729065,3,1.075416,16,1,3,3,12131.1872
504.180391,5.788304,28,0.968447,17,1,28,28,162.072512
527.924606,1940.455893,45,1.274554,18,1,45,45,87320.51519
679.767543,87.397457,3,0.512425,19,1,3,3,262.192371
782.876075,138.485882,2,0.774593,20,1,2,2,276.971764
799.143008,8.690036,4,0.994014,21,1,4,4,34.760144
938.331505,5151.534892,5,0.565415,22,1,5,5,25757.67446
952.257166,27.901194,7,1.111541,23,1,7,7,195.308358
978.995928,15.806661,7,1.013811,24,1,7,7,110.646627
1152.033576,436.526729,3,0.551172,25,1,3,3,1309.580187
1163.478363,116.312547,3,1.697329,26,1,3,3,348.937641
1211.574256,514.960703,46,1.433619,27,1,46,46,23688.19234
1249.740438,3220.82135,45,1.691546,28,1,45,45,144936.9608
1314.214716,678.59493,4,1.469098,29,1,4,4,2714.37972
1466.689284,56.5321,5,1.027437,30,1,5,5,282.6605
1556.41793,396.13416,6,0.756208,31,1,6,6,2376.80496
1636.403439,14.76519,3,0.91612,32,1,3,3,44.29557
1811.911805,5868.984975,13,1.901678,33,1,13,13,76296.80468
1831.735504,135.160309,5,1.185098,34,1,5,5,675.801545
1876.58394,7491.082938,40,1.472275,35,1,40,40,299643.3175
2033.789897,3339.387927,51,0.797668,36,1,51,51,170308.7843
2046.601156,497.812747,35,0.352298,37,1,35,35,17423.44615
2066.900314,94.909542,2,1.819047,38,1,2,2,189.819084
2161.688945,13230.74129,19,1.529392,39,1,19,19,251384.0845
2230.002179,158.196136,4,1.23592,40,1,4,4,632.784544
2256.777188,4.167769,46,0.954853,41,1,46,46,191.717374
2289.484406,320.609587,11,0.946808,42,1,11,11,3526.705457
2297.087,28.618193,8,1.426432,43,1,8,8,228.945544
2338.225422,94.630329,30,1.163059,44,1,30,30,2838.90987
2359.361275,2187.316137,3,0.722286,45,1,3,3,6561.948411
2463.143339,795.399008,53,0.909749,46,1,53,53,42156.14742
2463.731951,4.672526,4,1.810925,47,1,4,4,18.690104
2613.465448,145.008342,2,1.231706,48,1,2,2,290.016684
2614.739234,212.754909,2,0.946907,49,1,2,2,425.509818
2641.7711,11163.52002,12,0.818877,50,1,12,12,133962.2402
2648.543718,5.751117,3,0.233691,51,1,3,3,17.253351
2663.309098,27.874141,2,1.403179,52,1,2,2,55.748282
2724.361751,1397.985499,24,1.17532,53,1,24,24,33551.65198
2789.583454,913.41254,2,0.668241,54,1,2,2,1826.82508
2792.750055,47.264066,22,0.205654,55,1,22,22,1039.809452
2796.549554,1455.066169,19,1.017181,56,1,19,19,27646.25721
2876.50921,92.764394,3,0.915404,57,1,3,3,278.293182
2901.866219,19.221447,23,1.345087,58,1,23,23,442.093281
2942.1228,18185.64864,13,0.425924,59,1,13,13,236413.4323
3026.085699,246.184965,3,0.455021,60,1,3,3,738.554895
3065.354141,13.379577,2,0.407656,61,1,2,2,26.759154
3069.533513,9.784342,56,1.257874,62,1,56,56,547.923152
3206.864332,5346.192969,2,0.493794,63,1,2,2,10692.38594
3239.673844,6242.711614,9,0.563694,64,1,9,9,56184.40453
3284.700559,2173.418177,9,0.035886,65,1,9,9,19560.76359
3417.879679,20.179754,7,0.568106,66,1,7,7,141.258278
3484.027197,2398.481232,13,0.832186,67,1,13,13,31180.25602
3490.599612,60.913059,2,1.691556,68,1,2,2,121.826118
3506.904152,10376.3495,29,1.511337,69,1,29,29,300914.1355
3622.244315,37.868523,2,1.227968,70,1,2,2,75.737046
3652.913811,3.971392,4,0.121882,71,1,4,4,15.885568
3722.502008,10.109292,3,1.414277,72,1,3,3,30.327876
3740.512112,19149.69596,3,0.629308,73,1,3,3,57449.08788
3847.256926,17.016874,22,0.427123,74,1,22,22,374.371228
3865.221902,13191.19168,54,1.02764,75,1,54,54,712324.3507
3975.168818,751.755028,60,0.278341,76,1,60,60,45105.30168
4006.028674,1404.337481,4,1.712024,77,1,4,4,5617.349924
4065.508881,8.371956,41,1.157831,78,1,41,41,343.250196
4126.110195,37.606762,29,0.959988,79,1,29,29,1090.596098
4207.289275,660.959104,28,1.891246,80,1,28,28,18506.85491
4216.624267,989.047785,24,1.581026,81,1,24,24,23737.14684
4256.640152,9798.916242,27,0.885978,82,1,27,27,264570.7385
4457.682753,20609.66798,22,0.572462,83,1,22,22,453412.6956
4494.390563,635.34345,56,0.757459,84,1,56,56,35579.2332
4506.790501,1362.52458,7,1.185723,85,1,7,7,9537.67206
4649.075867,3710.471923,25,1.713812,86,1,25,25,92761.79808
4676.007343,1410.809422,6,0.710195,87,1,6,6,8464.856532
4705.70609,4251.980806,6,0.695554,88,1,6,6,25511.88484
4748.148681,79.416552,3,0.355732,89,1,3,3,238.249656
4867.219526,1151.760439,3,0.126131,90,1,3,3,3455.281317
4909.958161,5757.387544,22,1.802042,91,1,22,22,126662.526
4915.281002,16029.47052,3,1.350623,92,1,3,3,48088.41156
4915.927177,32.712682,9,0.768849,93,1,9,9,294.414138
4916.225131,13679.6423,7,0.770026,94,1,7,7,95757.4961
4934.841973,4596.653583,16,1.895184,95,1,16,16,73546.45733
4994.139643,4.55442,17,1.144815,96,1,17,17,77.42514
5011.252679,3.246919,55,0.904089,97,1,55,55,178.580545
5058.31753,70.062098,38,1.286641,98,1,38,38,2662.359724
5077.046103,824.117374,4,0.41564,99,1,4,4,3296.469496
5081.283439,18.128881,55,0.719516,100,1,55,55,997.088455
5151.513539,4.968001,6,1.836625,101,1,6,6,29.808006
5197.114736,24.271038,2,0.166314,102,1,2,2,48.542076
5291.257513,3735.417359,30,0.240369,103,1,30,30,112062.5208
5307.766765,311.296519,13,1.200216,104,1,13,13,4046.854747
5331.104495,41.635061,28,1.866996,105,1,28,28,1165.781708
5341.905695,6036.885029,19,1.545461,106,1,19,19,114700.8156
5405.287697,3.876922,4,1.406888,107,1,4,4,15.507688
5471.80021,8.450404,3,0.652518,108,1,3,3,25.351212
5472.362065,229.547343,2,1.610492,109,1,2,2,459.094686
