S_time,R_time,Processors,sigma,id,type,Max_resource,Min_resource,Total_cost
0.0,8497.339534,2,0.245417,1,1,2,2,16994.679068
549.784524,70.963555,2,0.972174,2,1,2,2,141.92711
900.185043,18009.10014,3,0.560986,3,1,3,3,54027.30042
1620.337877,123205.2282,12,0.880554,4,1,12,12,1478462.7384
2906.057519,31.017399,16,0.752653,5,1,16,16,496.278384
3590.170009,7.175732,9,0.453731,6,1,9,9,64.581588
8707.851902,431.726863,12,0.46404,7,1,12,12,5180.722356
11416.42381,9.924151,25,1.134929,8,1,25,25,248.103775
14882.98582,2115.852686,3,1.169688,9,1,3,3,6347.5580580000005
17055.06871,759.758628,11,0.146437,10,1,11,11,8357.344908000001
21985.89439,123981.2727,2,1.691955,11,1,2,2,247962.5454
23027.87734,32227.4461,3,0.438828,12,1,3,3,96682.3383
29114.69409,1554.068799,4,1.433392,13,1,4,4,6216.275196
30200.88208,34.790836,32,0.879695,14,1,32,32,1113.306752
33961.83535,231593.4826,3,1.075416,15,1,3,3,694780.4478
34075.90208,8.371296,36,0.968447,16,1,36,36,301.366656
35680.69584,73573.78316,61,1.274554,17,1,61,61,4488000.77276
45943.26288,580.758792,3,0.512425,18,1,3,3,1742.2763759999998
52912.03101,1191.782551,2,0.774593,19,1,2,2,2383.565102
54011.45974,15.790373,5,0.994014,20,1,5,5,78.951865
63418.75457,338025.8459,6,0.565415,21,1,6,6,2028155.0754
64359.94442,97.626799,8,1.111541,22,1,8,8,781.014392
66167.12979,40.19389,8,1.013811,23,1,8,8,321.55112
77862.17796,7159.558649,3,0.551172,24,1,3,3,21478.675947
78635.69363,907.507948,4,1.697329,25,1,4,4,3630.031792
81886.33761,9267.474527,63,1.433619,26,1,63,63,583850.895201
84465.8649,162331.5292,61,1.691546,27,1,61,61,9902223.2812
88823.47024,14259.82672,5,1.469098,28,1,5,5,71299.1336
99128.72718,294.11005,5,1.027437,29,1,5,5,1470.55025
105193.1926,6152.196136,6,0.756208,30,1,6,6,36913.176816
110599.1513,36.135244,3,0.91612,31,1,3,3,108.405732
122461.1872,414367.0787,16,1.901678,32,1,16,16,6629873.2592
123801.0061,1147.38942,5,1.185098,33,1,5,5,5736.947099999999
126832.1651,606597.1859,54,1.472275,34,1,54,54,32756248.0386
137457.201,171760.1785,70,0.797668,35,1,70,70,12023212.495000001
138323.0721,8790.048867,46,0.352298,36,1,46,46,404342.247882
139695.0258,660.57663,2,1.819047,37,1,2,2,1321.15326
146101.479,1474723.657,24,1.529392,38,1,24,24,35393367.768
150718.5469,1467.068005,5,1.23592,39,1,5,5,7335.340025
152528.182,5.012044,62,0.954853,40,1,62,62,310.746728
154738.7559,4421.403852,13,0.946808,41,1,13,13,57478.250076000004
155252.5903,101.573043,10,1.426432,42,1,10,10,1015.73043
158033.0015,657.54415,40,1.163059,43,1,40,40,26301.765999999996
159461.5046,88704.45699,3,0.722286,44,1,3,3,266113.37097000005
166475.7946,18274.01643,73,0.909749,45,1,73,73,1334003.19939
166515.577,5.991726,4,1.810925,46,1,4,4,23.966904
