S_ime,R_time,Processors,sigma,id,type,Max_resource,Min_resource,Total_cost
0.0,487.133589,2,0.245417,2,1,2,2,974.267178
5.6941527999999995,22.746667,2,0.972174,3,2,3,2,45.493334
9.3232734,787.996298,3,0.560986,4,2,5,2,2363.988894
16.7819421,2699.441216,10,0.880554,5,2,14,6,26994.41216
30.0982213,13.389669,13,0.752653,6,2,18,8,174.065697
37.18361779999999,5.244419,8,0.453731,7,2,11,5,41.955352
90.1877732,72.282789,10,0.46404,8,1,10,10,722.82789
118.24062389999999,6.454624,19,1.134929,9,2,26,12,122.637856
154.1440257,199.999205,3,1.169688,10,1,3,3,599.997615
176.6404255,103.80314,9,0.146437,11,1,9,9,934.22826
227.70929929999997,2710.316316,2,1.691955,12,1,2,2,5420.632632
238.5011825,1143.807995,3,0.438828,13,2,5,2,3431.423985
301.5427289,164.140789,3,1.433392,14,1,3,3,492.422367
312.7924464,14.411048,25,0.879695,15,2,34,15,360.2762
351.7448774,4043.729065,3,1.075416,16,2,5,2,12131.1872
352.92627369999997,5.788304,28,0.968447,17,1,28,28,162.072512
369.5472242,1940.455893,45,1.274554,18,1,45,45,87320.51519
475.8372801,87.397457,3,0.512425,19,1,3,3,262.192371
548.0132525,138.485882,2,0.774593,20,2,3,2,276.971764
559.4001056,8.690036,4,0.994014,21,2,6,3,34.760144
656.8320534999999,5151.534892,5,0.565415,22,2,7,3,25757.67446
666.5800161999999,27.901194,7,1.111541,23,1,7,7,195.308358
685.2971496,15.806661,7,1.013811,24,1,7,7,110.646627
806.4235032,436.526729,3,0.551172,25,2,5,2,1309.580187
814.4348540999999,116.312547,3,1.697329,26,2,5,2,348.937641
848.1019792000001,514.960703,46,1.433619,27,2,63,28,23688.19234
874.8183066,3220.82135,45,1.691546,28,2,61,27,144936.9608
919.9503011999999,678.59493,4,1.469098,29,2,6,3,2714.37972
1026.6824988,56.5321,5,1.027437,30,1,5,5,282.6605
1089.492551,396.13416,6,0.756208,31,2,9,4,2376.80496
1145.4824073,14.76519,3,0.91612,32,2,5,2,44.29557
1268.3382634999998,5868.984975,13,1.901678,33,2,18,8,76296.80468
1282.2148528,135.160309,5,1.185098,34,2,7,3,675.801545
1313.6087579999999,7491.082938,40,1.472275,35,2,54,24,299643.3175
1423.6529279,3339.387927,51,0.797668,36,1,51,51,170308.7843
1432.6208092,497.812747,35,0.352298,37,2,48,21,17423.44615
1446.8302198,94.909542,2,1.819047,38,1,2,2,189.819084
1513.1822614999999,13230.74129,19,1.529392,39,2,26,12,251384.0845
1561.0015253,158.196136,4,1.23592,40,2,6,3,632.784544
1579.7440316,4.167769,46,0.954853,41,2,63,28,191.717374
1602.6390841999998,320.609587,11,0.946808,42,2,15,7,3526.705457
1607.9608999999998,28.618193,8,1.426432,43,1,8,8,228.945544
1636.7577953999998,94.630329,30,1.163059,44,2,41,18,2838.90987
1651.5528925,2187.316137,3,0.722286,45,1,3,3,6561.948411
1724.2003373,795.399008,53,0.909749,46,1,53,53,42156.14742
1724.6123657,4.672526,4,1.810925,47,1,4,4,18.690104
1829.4258135999999,145.008342,2,1.231706,48,2,3,2,290.016684
1830.3174638,212.754909,2,0.946907,49,1,2,2,425.509818
1849.23977,11163.52002,12,0.818877,50,1,12,12,133962.2402
1853.9806025999999,5.751117,3,0.233691,51,2,5,2,17.253351
1864.3163686,27.874141,2,1.403179,52,1,2,2,55.748282
1907.0532256999998,1397.985499,24,1.17532,53,2,33,15,33551.65198
1952.7084178,913.41254,2,0.668241,54,2,3,2,1826.82508
1954.9250384999998,47.264066,22,0.205654,55,1,22,22,1039.809452
1957.5846878,1455.066169,19,1.017181,56,2,26,12,27646.25721
2013.556447,92.764394,3,0.915404,57,2,5,2,278.293182
2031.3063533,19.221447,23,1.345087,58,1,23,23,442.093281
2059.48596,18185.64864,13,0.425924,59,1,13,13,236413.4323
2118.2599893,246.184965,3,0.455021,60,2,5,2,738.554895
2145.7478987,13.379577,2,0.407656,61,1,2,2,26.759154
2148.6734591,9.784342,56,1.257874,62,2,76,34,547.923152
2244.8050324,5346.192969,2,0.493794,63,2,3,2,10692.38594
2267.7716907999998,6242.711614,9,0.563694,64,2,13,6,56184.40453
2299.2903912999996,2173.418177,9,0.035886,65,2,13,6,19560.76359
2392.5157753,20.179754,7,0.568106,66,1,7,7,141.258278
2438.8190379,2398.481232,13,0.832186,67,2,18,8,31180.25602
2443.4197283999997,60.913059,2,1.691556,68,1,2,2,121.826118
2454.8329064,10376.3495,29,1.511337,69,1,29,29,300914.1355
2535.5710204999996,37.868523,2,1.227968,70,1,2,2,75.737046
2557.0396677,3.971392,4,0.121882,71,1,4,4,15.885568
2605.7514056,10.109292,3,1.414277,72,2,5,2,30.327876
2618.3584784,19149.69596,3,0.629308,73,2,5,2,57449.08788
2693.0798482,17.016874,22,0.427123,74,2,30,14,374.371228
2705.6553314,13191.19168,54,1.02764,75,2,73,33,712324.3507
2782.6181726,751.755028,60,0.278341,76,2,81,36,45105.30168
2804.2200718,1404.337481,4,1.712024,77,2,6,3,5617.349924
2845.8562167,8.371956,41,1.157831,78,2,56,25,343.250196
2888.2771365,37.606762,29,0.959988,79,2,40,18,1090.596098
2945.1024924999997,660.959104,28,1.891246,80,2,38,17,18506.85491
2951.6369869,989.047785,24,1.581026,81,2,33,15,23737.14684
2979.6481064,9798.916242,27,0.885978,82,2,37,17,264570.7385
3120.3779271,20609.66798,22,0.572462,83,2,30,14,453412.6956
3146.0733941,635.34345,56,0.757459,84,2,76,34,35579.2332
3154.7533507000003,1362.52458,7,1.185723,85,2,10,5,9537.67206
3254.3531068999996,3710.471923,25,1.713812,86,2,34,15,92761.79808
3273.2051401,1410.809422,6,0.710195,87,1,6,6,8464.856532
3293.9942629999996,4251.980806,6,0.695554,88,1,6,6,25511.88484
3323.7040766999994,79.416552,3,0.355732,89,2,5,2,238.249656
3407.0536681999997,1151.760439,3,0.126131,90,1,3,3,3455.281317
3436.9707126999997,5757.387544,22,1.802042,91,2,30,14,126662.526
3440.6967013999997,16029.47052,3,1.350623,92,2,5,2,48088.41156
3441.1490238999995,32.712682,9,0.768849,93,2,13,6,294.414138
3441.3575917,13679.6423,7,0.770026,94,2,10,5,95757.4961
3454.3893810999994,4596.653583,16,1.895184,95,2,22,10,73546.45733
3495.8977501,4.55442,17,1.144815,96,2,23,11,77.42514
