S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
0.0,11,74700,240,15001,1,240,240,17928000
401.85,0,116,200,15002,1,200,200,23200
960.975,5,462,1,15003,1,1,1,462
1133.775,0,246,1,15004,1,1,1,246
1258.425,2,84,36,15005,1,36,36,3024
1281.825,1,83,36,15006,1,36,36,2988
1289.925,1,227,1,15007,1,1,1,227
1329.075,1,95,36,15008,1,36,36,3420
1361.4750000000001,1,102,36,15009,1,36,36,3672
1370.025,5,248,1,15010,1,1,1,248
1400.175,4,241,36,15011,1,36,36,8676
1452.6000000000001,1,147,36,15012,1,36,36,5292
1487.25,6,1696,36,15013,1,36,36,61056
1491.3,10,509,1,15014,1,1,1,509
1498.95,3,398,1,15015,1,1,1,398
1521.9,5,1730,36,15016,1,36,36,62280
1596.6000000000001,9,1666,36,15017,1,36,36,59976
1600.425,3,1591,36,15018,2,58,26,57276
1867.5,0,9157,2000,15019,1,2000,2000,18314000
1875.15,1,405,1,15020,1,1,1,405
1917.9,6,146,200,15021,1,200,200,29200
2053.125,0,499,1,15022,1,1,1,499
2115.225,1,300,200,15023,1,200,200,60000
2283.525,3,146,200,15024,1,200,200,29200
2353.5,4,104,200,15025,1,200,200,20800
2439.675,0,296,1,15026,1,1,1,296
2443.5,11,458,1,15027,1,1,1,458
2513.7000000000003,9,83,240,15028,2,384,168,19920
2518.425,0,86400,2000,15029,1,2000,2000,172800000
2519.775,6,135,240,15030,1,240,240,32400
2525.625,2,102,240,15031,1,240,240,24480
2569.275,0,1229,240,15032,1,240,240,294960
2569.9500000000003,9,1062,1,15033,1,1,1,1062
2573.1,11,1227,240,15034,1,240,240,294480
2581.65,4,1229,240,15035,1,240,240,294960
2610.0,1,1133,240,15036,2,384,168,271920
2625.75,361,6929,2000,15037,1,2000,2000,13858000
2696.4,0,62727,240,15038,1,240,240,15054480
2705.4,7,1400,48,15039,2,77,34,67200
2817.4500000000003,6731,843,2000,15040,1,2000,2000,1686000
2817.4500000000003,2,62198,240,15041,1,240,240,14927520
2821.9500000000003,4,47,20,15042,1,20,20,940
2822.175,3,600,40,15043,1,40,40,24000
