S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
0,11,74700,240,15001,2,384,168,17928000
401.85,0,116,200,15002,2,320,140,23200
960.975,5,462,1,15003,2,2,1,462
1133.775,0,246,1,15004,2,2,1,246
1258.425,2,84,36,15005,2,58,26,3024
1281.825,1,83,36,15006,2,58,26,2988
1289.925,1,227,1,15007,2,2,1,227
1329.075,1,95,36,15008,2,58,26,3420
1361.475,1,102,36,15009,2,58,26,3672
1370.025,5,248,1,15010,2,2,1,248
1400.175,4,241,36,15011,2,58,26,8676
1452.6,1,147,36,15012,2,58,26,5292
1487.25,6,1696,36,15013,2,58,26,61056
1491.3,10,509,1,15014,2,2,1,509
1498.95,3,398,1,15015,2,2,1,398
1521.9,5,1730,36,15016,2,58,26,62280
1596.6,9,1666,36,15017,2,58,26,59976
1600.425,3,1591,36,15018,2,58,26,57276
1867.5,0,9157,2000,15019,2,3200,1400,18314000
1875.15,1,405,1,15020,2,2,1,405
1917.9,6,146,200,15021,2,320,140,29200
2053.125,0,499,1,15022,2,2,1,499
2115.225,1,300,200,15023,2,320,140,60000
2283.525,3,146,200,15024,2,320,140,29200
2353.5,4,104,200,15025,2,320,140,20800
2439.675,0,296,1,15026,2,2,1,296
2443.5,11,458,1,15027,2,2,1,458
2513.7,9,83,240,15028,3,384,192,19920
2518.425,0,86400,2000,15029,2,3200,1400,172800000
2519.775,6,135,240,15030,2,384,168,32400
2525.625,2,102,240,15031,2,384,168,24480
2569.275,0,1229,240,15032,2,384,168,294960
2569.95,9,1062,1,15033,2,2,1,1062
2573.1,11,1227,240,15034,2,384,168,294480
2581.65,4,1229,240,15035,2,384,168,294960
2610,1,1133,240,15036,3,384,192,271920
2625.75,361,6929,2000,15037,2,3200,1400,13858000
2696.4,0,62727,240,15038,2,384,168,15054480
2705.4,7,1400,48,15039,2,77,34,67200
2817.45,6731,843,2000,15040,2,3200,1400,1686000
2817.45,2,62198,240,15041,2,384,168,14927520
2821.95,4,47,20,15042,2,32,14,940
2822.175,3,600,40,15043,2,64,28,24000
2822.175,3,600,80,15044,2,128,56,48000
2822.175,3,600,160,15045,2,256,112,96000
2822.175,3,600,320,15046,2,512,224,192000
2822.175,3,600,640,15047,2,1024,448,384000
2822.175,722,104,1280,15048,3,2048,1024,133120
2822.4,2933,143,2560,15049,3,4096,2048,366080
2822.4,6416,122,5120,15050,2,8192,3584,624640
2837.475,4,62096,240,15051,2,384,168,14903040
2842.875,2842,59234,240,15052,2,384,168,14216160
2848.95,2837,59212,240,15053,2,384,168,14210880
2854.8,2932,59091,240,15054,2,384,168,14181840
2861.325,1,1200,1,15055,2,2,1,1200
2923.65,1,1567,20,15056,2,32,14,31340
2925,11,1551,20,15057,2,32,14,31020
2925,11,1563,20,15058,2,32,14,31260
2925.225,10,1551,20,15059,2,32,14,31020
2925.225,10,1551,20,15060,2,32,14,31020
2925.225,10,1551,20,15061,2,32,14,31020
2925.225,10,1563,20,15062,2,32,14,31260
2925.45,9,1551,20,15063,2,32,14,31020
2925.45,9,1563,20,15064,2,32,14,31260
2925.45,9,1563,20,15065,2,32,14,31260
2925.45,9,1563,20,15066,2,32,14,31260
2925.45,9,1563,20,15067,2,32,14,31260
2925.675,8,1551,20,15068,2,32,14,31020
2925.675,8,1551,20,15069,2,32,14,31020
2925.675,8,1563,20,15070,2,32,14,31260
2925.675,8,1563,20,15071,2,32,14,31260
2925.9,7,1563,20,15072,2,32,14,31260
2925.9,7,1563,20,15073,2,32,14,31260
2925.9,7,1563,20,15074,2,32,14,31260
2926.125,6,1563,20,15075,2,32,14,31260
2926.125,6,1563,20,15076,2,32,14,31260
2926.125,6,1563,20,15077,2,32,14,31260
2926.125,6,1563,20,15078,2,32,14,31260
2926.125,6,1563,20,15079,2,32,14,31260
2926.125,6,1563,20,15080,2,32,14,31260
2926.125,6,1563,20,15081,2,32,14,31260
2926.35,5,1563,20,15082,2,32,14,31260
2926.35,5,1563,20,15083,2,32,14,31260
2926.35,5,1563,20,15084,2,32,14,31260
2926.35,5,1563,20,15085,2,32,14,31260
2926.35,5,1563,20,15086,2,32,14,31260
2926.35,5,1563,20,15087,2,32,14,31260
2926.35,5,1563,20,15088,2,32,14,31260
2926.575,4,1563,20,15089,2,32,14,31260
2926.575,4,1563,20,15090,2,32,14,31260
2926.575,4,1563,20,15091,2,32,14,31260
2926.575,4,1563,20,15092,2,32,14,31260
2926.575,4,1563,20,15093,2,32,14,31260
2926.575,4,1563,20,15094,2,32,14,31260
2926.575,4,1563,20,15095,2,32,14,31260
2926.8,3,1563,20,15096,2,32,14,31260
2926.8,3,1563,20,15097,2,32,14,31260
2926.8,3,1563,20,15098,2,32,14,31260
2926.8,3,1563,20,15099,2,32,14,31260
2926.8,3,1563,20,15100,2,32,14,31260
2926.8,3,1563,20,15101,2,32,14,31260
2926.8,3,1563,20,15102,2,32,14,31260
2927.025,2,1563,20,15103,2,32,14,31260
2927.025,2,1563,20,15104,2,32,14,31260
3021.3,3,26598,80,15105,2,128,56,2127840
3026.025,4,4551,80,15106,2,128,56,364080
3203.1,5017,219,2400,15107,2,3840,1680,525600
3250.575,0,104,40,15108,2,64,28,4160
3252.15,5,47,20,15109,2,32,14,940
3271.275,0,102,80,15110,2,128,56,8160
3275.1,6,100,160,15111,2,256,112,16000
3280.95,4,108,320,15112,2,512,224,34560
3285.225,4359,122,256,15113,2,410,180,31232
3287.25,9,75,640,15114,2,1024,448,48000
3290.175,7,151,1280,15115,2,2048,896,193280
3380.625,1,102,20,15116,2,32,14,2040
