S_ime,R_time,Processors,Sigma,id,type,Max_resource,Min_resource,Total_cost
0.0,8497.339534,2,0.245417,1,2,10,2,16994.679068
1546.268975,70.963555,2,0.972174,2,2,10,2,141.92711
2531.770434,18009.100135,3,0.560986,3,2,15,3,54027.300405
4557.200278,123205.228198,7,0.880554,4,3,12,6,862436.597386
8173.286771,31.017399,9,0.752653,5,2,45,7,279.156591
10097.353151,7.175732,6,0.453731,6,3,10,5,43.054392
24490.833475,431.726863,7,0.46404,7,2,35,5,3022.088041
32108.691971,9.924151,12,1.134929,8,2,60,9,119.089812
41858.397611,2115.852686,2,1.169688,9,2,10,2,4231.705372
47967.380732,759.758628,6,0.146437,10,2,30,5,4558.551768
61835.327976,123981.272674,2,1.691955,11,2,10,2,247962.545348
64765.905015,32227.446102,3,0.438828,12,2,15,3,96682.338306
81885.077125,1554.068799,3,1.433392,13,2,15,3,4662.206397
84939.980839,34.790836,15,0.879695,14,2,75,11,521.86254
95517.66192,231593.482555,3,1.075416,15,2,15,3,694780.447665
95838.474605,8.371296,16,0.968447,16,3,26,13,133.940736
100351.957049,73573.783163,24,1.274554,17,2,120,17,1765770.795912
129215.426843,580.758792,3,0.512425,18,2,15,3,1742.2763759999998
148815.087216,1191.782551,2,0.774593,19,2,10,2,2383.565102
151907.230507,15.790373,4,0.994014,20,2,20,3,63.161492
178365.247238,338025.845896,4,0.565415,21,2,20,3,1352103.383584
181012.34369,97.626799,5,1.111541,22,2,25,4,488.133995
186095.052545,40.19389,5,1.013811,23,2,25,4,200.96945
218987.375519,7159.558649,3,0.551172,24,2,15,3,21478.675947
221162.888344,907.507948,3,1.697329,25,3,5,3,2722.5238440000003
230305.324522,9267.474527,25,1.433619,26,3,40,20,231686.863175
237560.245039,162331.529208,24,1.691546,27,2,120,17,3895956.700992
249816.010058,14259.82672,4,1.469098,28,3,7,4,57039.30688
278799.545185,294.11005,4,1.027437,29,3,7,4,1176.4402
295855.854139,6152.196136,4,0.756208,30,2,20,3,24608.784544
311060.113114,36.135244,3,0.91612,31,3,5,3,108.405732
344422.088991,414367.078653,9,1.901678,32,3,15,8,3729303.707877
348190.329765,1147.38942,4,1.185098,33,3,7,4,4589.55768
356715.464288,606597.185863,22,1.472275,34,3,36,18,13345138.088986
386598.377942,171760.178542,27,0.797668,35,3,44,22,4637524.820634
389033.640244,8790.048867,20,0.352298,36,2,100,14,175800.97733999998
392892.259964,660.57663,2,1.819047,37,3,4,2,1321.15326
410910.409785,1474723.657415,12,1.529392,38,2,60,9,17696683.88898
423895.913052,1467.068005,4,1.23592,39,2,20,3,5868.27202
428985.51196,5.012044,24,0.954853,40,3,39,20,120.28905600000002
435202.750902,4421.403852,7,0.946808,41,3,12,6,30949.826964000003
436647.910182,101.573043,6,1.426432,42,3,10,5,609.438258
444467.816789,657.54415,18,1.163059,43,2,90,13,11835.7947
448485.481804,88704.456986,3,0.722286,44,2,15,3,266113.370958
468213.172405,18274.016427,27,0.909749,45,2,135,19,493398.443529
468325.060212,5.991726,3,1.810925,46,2,15,3,17.975178
496787.551474,1280.596086,2,1.231706,47,2,10,2,2561.192172
497029.682463,2330.344159,2,0.946907,48,2,10,2,4660.688318
502168.106926,1131048.287483,8,0.818877,49,2,40,6,9048386.299864
503455.497975,8.287455,3,0.233691,50,2,15,3,24.862365
506262.214715,97.479011,2,1.403179,51,2,10,2,194.958022
517867.57099,44089.009658,14,1.17532,52,2,70,10,617246.135212
530265.412517,22681.200307,2,0.668241,53,2,10,2,45362.400614
530867.344187,222.363275,13,0.205654,54,3,21,11,2890.722575
531589.582124,46932.470016,12,1.017181,55,2,60,9,563189.640192
546788.926654,637.407869,2,0.915404,56,2,10,2,1274.815738
551608.981418,54.553556,14,1.345087,57,3,23,12,763.749784
559261.260935,2423571.75783,9,0.425924,58,2,45,7,21812145.82047
575221.572531,2926.886151,3,0.455021,59,2,15,3,8780.658453
582686.01914,30.980894,2,0.407656,60,3,4,2,61.961788
583480.466156,19.003666,29,1.257874,61,2,145,21,551.106314
609585.361373,358184.102094,2,0.493794,62,2,10,2,716368.204188
615822.044928,456305.579295,6,0.563694,63,2,30,5,2737833.47577
624381.068125,87825.807328,6,0.035886,64,2,30,5,526954.843968
649696.776466,58.860262,5,0.568106,65,2,25,4,294.30131
662270.6038,102436.211331,9,0.832186,66,2,45,7,921925.901979
663519.938949,330.471445,2,1.691556,67,2,10,2,660.94289
666619.230917,1008987.580273,17,1.511337,68,2,85,12,17152788.864641
688543.973412,157.304765,2,1.227968,69,2,10,2,314.60953
694373.86635,4.648143,3,0.121882,70,2,15,3,13.944429
707601.724555,19.998485,3,1.414277,71,2,15,3,59.99545499999999
711025.223122,2627183.526319,2,0.629308,72,3,4,2,5254367.052638
731316.095868,45.102172,13,0.427123,73,3,21,11,586.3282360000001
734731.016167,1467844.884791,28,1.02764,74,2,140,20,41099656.774148
