S_ime,R_time,Processors,Sigma,id,type,Max_resource,Min_resource,Total_cost
0,8497.339534,2,0.245417,1,1,2,2,16994.67907
1546.268975,70.963555,2,0.972174,2,1,2,2,141.92711
2531.770434,18009.10014,3,0.560986,3,1,3,3,54027.30041
4557.200278,123205.2282,7,0.880554,4,1,7,7,862436.5974
8173.286771,31.017399,9,0.752653,5,1,9,9,279.156591
10097.35315,7.175732,6,0.453731,6,1,6,6,43.054392
24490.83348,431.726863,7,0.46404,7,1,7,7,3022.088041
32108.69197,9.924151,12,1.134929,8,1,12,12,119.089812
41858.39761,2115.852686,2,1.169688,9,1,2,2,4231.705372
47967.38073,759.758628,6,0.146437,10,1,6,6,4558.551768
61835.32798,123981.2727,2,1.691955,11,1,2,2,247962.5453
64765.90502,32227.4461,3,0.438828,12,1,3,3,96682.33831
81885.07713,1554.068799,3,1.433392,13,1,3,3,4662.206397
84939.98084,34.790836,15,0.879695,14,1,15,15,521.86254
95517.66192,231593.4826,3,1.075416,15,1,3,3,694780.4477
95838.47461,8.371296,16,0.968447,16,1,16,16,133.940736
100351.957,73573.78316,24,1.274554,17,1,24,24,1765770.796
129215.4268,580.758792,3,0.512425,18,1,3,3,1742.276376
148815.0872,1191.782551,2,0.774593,19,1,2,2,2383.565102
151907.2305,15.790373,4,0.994014,20,1,4,4,63.161492
178365.2472,338025.8459,4,0.565415,21,1,4,4,1352103.384
181012.3437,97.626799,5,1.111541,22,1,5,5,488.133995
186095.0525,40.19389,5,1.013811,23,1,5,5,200.96945
218987.3755,7159.558649,3,0.551172,24,1,3,3,21478.67595
221162.8883,907.507948,3,1.697329,25,1,3,3,2722.523844
230305.3245,9267.474527,25,1.433619,26,1,25,25,231686.8632
237560.245,162331.5292,24,1.691546,27,1,24,24,3895956.701
249816.0101,14259.82672,4,1.469098,28,1,4,4,57039.30688
278799.5452,294.11005,4,1.027437,29,1,4,4,1176.4402
295855.8541,6152.196136,4,0.756208,30,1,4,4,24608.78454
311060.1131,36.135244,3,0.91612,31,1,3,3,108.405732
344422.089,414367.0787,9,1.901678,32,1,9,9,3729303.708
348190.3298,1147.38942,4,1.185098,33,1,4,4,4589.55768
356715.4643,606597.1859,22,1.472275,34,1,22,22,13345138.09
386598.3779,171760.1785,27,0.797668,35,1,27,27,4637524.821
389033.6402,8790.048867,20,0.352298,36,1,20,20,175800.9773
392892.26,660.57663,2,1.819047,37,1,2,2,1321.15326
410910.4098,1474723.657,12,1.529392,38,1,12,12,17696683.89
423895.9131,1467.068005,4,1.23592,39,1,4,4,5868.27202
428985.512,5.012044,24,0.954853,40,1,24,24,120.289056
435202.7509,4421.403852,7,0.946808,41,1,7,7,30949.82696
436647.9102,101.573043,6,1.426432,42,1,6,6,609.438258
444467.8168,657.54415,18,1.163059,43,1,18,18,11835.7947
448485.4818,88704.45699,3,0.722286,44,1,3,3,266113.371
468213.1724,18274.01643,27,0.909749,45,1,27,27,493398.4435
468325.0602,5.991726,3,1.810925,46,1,3,3,17.975178
496787.5515,1280.596086,2,1.231706,47,1,2,2,2561.192172
497029.6825,2330.344159,2,0.946907,48,1,2,2,4660.688318
502168.1069,1131048.287,8,0.818877,49,1,8,8,9048386.3
503455.498,8.287455,3,0.233691,50,1,3,3,24.862365
506262.2147,97.479011,2,1.403179,51,1,2,2,194.958022
517867.571,44089.00966,14,1.17532,52,1,14,14,617246.1352
530265.4125,22681.20031,2,0.668241,53,1,2,2,45362.40061
530867.3442,222.363275,13,0.205654,54,1,13,13,2890.722575
531589.5821,46932.47002,12,1.017181,55,1,12,12,563189.6402
546788.9267,637.407869,2,0.915404,56,1,2,2,1274.815738
551608.9814,54.553556,14,1.345087,57,1,14,14,763.749784
559261.2609,2423571.758,9,0.425924,58,1,9,9,21812145.82
575221.5725,2926.886151,3,0.455021,59,1,3,3,8780.658453
582686.0191,30.980894,2,0.407656,60,1,2,2,61.961788
583480.4662,19.003666,29,1.257874,61,1,29,29,551.106314
609585.3614,358184.1021,2,0.493794,62,1,2,2,716368.2042
615822.0449,456305.5793,6,0.563694,63,1,6,6,2737833.476
624381.0681,87825.80733,6,0.035886,64,1,6,6,526954.844
649696.7765,58.860262,5,0.568106,65,1,5,5,294.30131
662270.6038,102436.2113,9,0.832186,66,1,9,9,921925.902
663519.9389,330.471445,2,1.691556,67,1,2,2,660.94289
666619.2309,1008987.58,17,1.511337,68,1,17,17,17152788.86
688543.9734,157.304765,2,1.227968,69,1,2,2,314.60953
694373.8664,4.648143,3,0.121882,70,1,3,3,13.944429
707601.7246,19.998485,3,1.414277,71,1,3,3,59.995455
711025.2231,2627183.526,2,0.629308,72,1,2,2,5254367.053
