S_ime,R_time,Processors,Sigma,id,type,Max_resource,Min_resource,Total_cost
0.0,8497.339534,2,0.245417,1,2,3,2,16994.679068
541.1941409,70.963555,2,0.972174,2,2,3,2,141.92711
886.1196519,18009.100135,3,0.560986,3,2,5,2,54027.300405
1595.0200973,123205.228198,10,0.880554,4,2,14,6,1232052.28198
2860.6503702,31.017399,13,0.752653,5,2,18,8,403.226187
3534.0736025,7.175732,8,0.453731,6,2,11,5,57.405856
8571.791716599999,431.726863,10,0.46404,7,2,14,6,4317.26863
11238.0421895,9.924151,19,1.134929,8,2,26,12,188.558869
14650.4391635,2115.852686,3,1.169688,9,2,5,2,6347.5580580000005
16788.5832562,759.758628,9,0.146437,10,2,13,6,6837.827652
21642.364791599997,123981.272674,2,1.691955,11,2,3,2,247962.545348
22668.0667549,32227.446102,3,0.438828,12,2,5,2,96682.338306
28659.7769941,1554.068799,3,1.433392,13,2,5,2,4662.206397
29728.993294,34.790836,25,0.879695,14,2,34,15,869.7709
33431.181672,231593.482555,3,1.075416,15,1,3,3,694780.447665
33543.4661121,8.371296,28,0.968447,16,2,38,17,234.396288
35123.1849668,73573.783163,45,1.274554,17,2,61,27,3310820.242335
45225.3993947,580.758792,3,0.512425,18,2,5,2,1742.2763759999998
52085.2805256,1191.782551,2,0.774593,19,2,3,2,2383.565102
53167.5306778,15.790373,4,0.994014,20,1,4,4,63.161492
62427.8365333,338025.845896,5,0.565415,21,2,7,3,1690129.22948
63354.3202915,97.626799,7,1.111541,22,2,10,5,683.387593
65133.2683904,40.19389,7,1.013811,23,2,10,5,281.35723
76645.58143199999,7159.558649,3,0.551172,24,2,5,2,21478.675947
77407.0109204,907.507948,3,1.697329,25,1,3,3,2722.5238440000003
80606.8635827,9267.474527,46,1.433619,26,2,63,28,426303.828242
83146.085764,162331.529208,45,1.691546,27,2,61,27,7304918.814359999
87435.6035203,14259.82672,4,1.469098,28,2,6,3,57039.30688
97579.84081509999,294.11005,5,1.027437,29,2,7,3,1470.55025
103549.5489483,6152.196136,6,0.756208,30,2,9,4,36913.176816
108871.0395899,36.135244,3,0.91612,31,2,5,2,108.405732
120547.73114719999,414367.078653,13,1.901678,32,2,18,8,5386772.022489
121866.6154174,1147.38942,5,1.185098,33,2,7,3,5736.947099999999
124850.4125008,606597.185863,40,1.472275,34,2,54,24,24263887.43452
135309.43227969998,171760.178542,51,0.797668,35,2,69,31,8759769.105642
136161.7740854,8790.048867,35,0.352298,36,2,48,21,307651.710345
137512.2909874,660.57663,2,1.819047,37,2,3,2,1321.15326
143818.6434251,1474723.657415,19,1.529392,38,2,26,12,28019749.490885
148363.56956819998,1467.068005,4,1.23592,39,2,6,3,5868.27202
150144.929186,5.012044,46,0.954853,40,2,63,28,230.55402400000003
152320.96281569998,4421.403852,11,0.946808,41,2,15,7,48635.442372000005
152826.7685637,101.573043,8,1.426432,42,2,11,5,812.584344
155563.7358758,657.54415,30,1.163059,43,2,41,18,19726.3245
156969.91863139998,88704.456986,3,0.722286,44,2,5,2,266113.370958
163874.6103421,18274.016427,53,0.909749,45,2,72,32,968522.870631
163913.7710742,5.991726,4,1.810925,46,2,6,3,23.966904
173875.6430159,1280.596086,2,1.231706,47,2,3,2,2561.192172
173960.3888617,2330.344159,2,0.946907,48,2,3,2,4660.688318
175758.83742409997,1131048.287483,12,0.818877,49,2,17,8,13572579.449796
176209.4242916,8.287455,3,0.233691,50,2,5,2,24.862365
177191.7751499,97.479011,2,1.403179,51,2,3,2,194.958022
181253.6498465,44089.009658,24,1.17532,52,2,33,15,1058136.231792
185592.8943813,22681.200307,2,0.668241,53,2,3,2,45362.400614
185803.57046579997,222.363275,22,0.205654,54,2,30,14,4891.99205
186056.35374339996,46932.470016,19,1.017181,55,2,26,12,891716.930304
191376.12432889998,637.407869,3,0.915404,56,2,5,2,1912.223607
193063.14349629998,54.553556,23,1.345087,57,2,32,14,1254.731788
195741.4413269,2423571.75783,13,0.425924,58,2,18,8,31506432.85179
201327.55038549998,2926.886151,3,0.455021,59,2,5,2,8780.658453
203940.106699,30.980894,2,0.407656,60,2,3,2,61.961788
204218.1631546,19.003666,56,1.257874,61,2,76,34,1064.205296
213354.87648089998,358184.102094,2,0.493794,62,2,3,2,716368.204188
215537.7157248,456305.579295,9,0.563694,63,1,9,9,4106750.213655
218533.3738441,87825.807328,9,0.035886,64,2,13,6,790432.2659519999
227393.8717631,58.860262,7,0.568106,65,2,10,5,412.021834
231794.71133,102436.211331,13,0.832186,66,2,18,8,1331670.747303
232231.9786325,330.471445,2,1.691556,67,2,3,2,660.94289
233316.73082129998,1008987.580273,29,1.511337,68,2,40,18,29260639.827917
240990.39069419997,157.304765,2,1.227968,69,2,3,2,314.60953
243030.85322249998,4.648143,4,0.121882,70,2,6,3,18.592572
247660.60359389996,19.998485,3,1.414277,71,2,5,2,59.99545499999999
248858.8280927,2627183.526319,3,0.629308,72,2,5,2,7881550.578957
255960.63355379997,45.102172,22,0.427123,73,2,30,14,992.247784
