S_ime,R_time,Processors,Sigma,id,type,Max_resource,Min_resource,Total_cost
0.0,8497.339534,2,0.245417,1,1,2,2,16994.679068
386.5672435,70.963555,2,0.972174,2,1,2,2,141.92711
632.9426085,18009.100135,3,0.560986,3,1,3,3,54027.300405
1139.3000695,123205.228198,10,0.880554,4,1,10,10,1232052.28198
2043.321693,31.017399,13,0.752653,5,1,13,13,403.226187
2524.3382875,7.175732,8,0.453731,6,1,8,8,57.405856
6122.708369,431.726863,10,0.46404,7,2,14,6,4317.26863
8027.1729925,9.924151,19,1.134929,8,1,19,19,188.558869
10464.5994025,2115.852686,3,1.169688,9,1,3,3,6347.5580580000005
11991.845183,759.758628,9,0.146437,10,1,9,9,6837.827652
15458.831994,123981.272674,2,1.691955,11,1,2,2,247962.545348
16191.4762535,32227.446102,3,0.438828,12,1,3,3,96682.338306
20471.2692815,1554.068799,3,1.433392,13,3,5,3,4662.206397
21234.99521,34.790836,25,0.879695,14,1,25,25,869.7709
23879.41548,231593.482555,3,1.075416,15,2,5,2,694780.447665
23959.6186515,8.371296,28,0.968447,16,3,45,23,234.396288
25087.989262,73573.783163,45,1.274554,17,1,45,45,3310820.242335
32303.8567105,580.758792,3,0.512425,18,1,3,3,1742.2763759999998
37203.771804,1191.782551,2,0.774593,19,1,2,2,2383.565102
37976.807627,15.790373,4,0.994014,20,1,4,4,63.161492
44591.3118095,338025.845896,5,0.565415,21,1,5,5,1690129.22948
45253.0859225,97.626799,7,1.111541,22,1,7,7,683.387593
46523.763136,40.19389,7,1.013811,23,1,7,7,281.35723
54746.84388,7159.558649,3,0.551172,24,1,3,3,21478.675947
55290.722086,907.507948,3,1.697329,25,2,5,2,2722.5238440000003
57576.3311305,9267.474527,46,1.433619,26,2,63,28,426303.828242
59390.06126,162331.529208,45,1.691546,27,1,45,45,7304918.814359999
62454.0025145,14259.82672,4,1.469098,28,1,4,4,57039.30688
69699.8862965,294.11005,5,1.027437,29,1,5,5,1470.55025
73963.9635345,6152.196136,6,0.756208,30,1,6,6,36913.176816
