S_time,R_time,Processors,sigma,id,type,Max_resource,Min_resource,Total_cost
0.0,8497.339534,2,0.245417,1,1,2,2,16994.679068
412.338393,70.963555,2,0.972174,2,1,2,2,141.92711
675.13878225,18009.10014,3,0.560986,3,1,3,3,54027.30042
1215.25340775,123205.2282,12,0.880554,4,1,12,12,1478462.7384
2179.54313925,31.017399,16,0.752653,5,1,16,16,496.278384
2692.62750675,7.175732,9,0.453731,6,1,9,9,64.581588
6530.8889265,431.726863,12,0.46404,7,1,12,12,5180.722356
8562.3178575,9.924151,25,1.134929,8,1,25,25,248.103775
11162.239365,2115.852686,3,1.169688,9,1,3,3,6347.5580580000005
12791.3015325,759.758628,11,0.146437,10,1,11,11,8357.344908000001
16489.4207925,123981.2727,2,1.691955,11,1,2,2,247962.5454
17270.908004999998,32227.4461,3,0.438828,12,1,3,3,96682.3383
21836.0205675,1554.068799,4,1.433392,13,1,4,4,6216.275196
22650.66156,34.790836,32,0.879695,14,1,32,32,1113.306752
25471.3765125,231593.4826,3,1.075416,15,1,3,3,694780.4478
25556.92656,8.371296,36,0.968447,16,2,49,22,301.366656
26760.52188,73573.78316,61,1.274554,17,1,61,61,4488000.77276
34457.44716,580.758792,3,0.512425,18,1,3,3,1742.2763759999998
39684.0232575,1191.782551,2,0.774593,19,1,2,2,2383.565102
40508.594805,15.790373,5,0.994014,20,1,5,5,78.951865
47564.0659275,338025.8459,6,0.565415,21,1,6,6,2028155.0754
48269.958314999996,97.626799,8,1.111541,22,1,8,8,781.014392
49625.347342500005,40.19389,8,1.013811,23,1,8,8,321.55112
58396.63347,7159.558649,3,0.551172,24,1,3,3,21478.675947
58976.770222499996,907.507948,4,1.697329,25,2,6,3,3630.031792
61414.753207500005,9267.474527,63,1.433619,26,2,86,38,583850.895201
63349.398675000004,162331.5292,61,1.691546,27,1,61,61,9902223.2812
66617.60268,14259.82672,5,1.469098,28,1,5,5,71299.1336
74346.545385,294.11005,5,1.027437,29,1,5,5,1470.55025
78894.89444999999,6152.196136,6,0.756208,30,1,6,6,36913.176816
82949.36347499999,36.135244,3,0.91612,31,1,3,3,108.405732
91845.8904,414367.0787,16,1.901678,32,1,16,16,6629873.2592
