S_ime,R_time,Processors,Sigma,id,type,Max_resource,Min_resource,Total_cost
0.0,8497.339534,2,0.245417,1,1,2,2,16994.679068
494.80607160000005,70.963555,2,0.972174,2,3,4,2,141.92711
810.1665386999999,18009.10014,3,0.560986,3,2,5,2,54027.30042
1458.3040893,123205.2282,12,0.880554,4,2,17,8,1478462.7384
2615.4517671,31.017399,16,0.752653,5,2,22,10,496.278384
3231.1530081,7.175732,9,0.453731,6,2,13,6,64.581588
7837.0667118,431.726863,12,0.46404,7,2,17,8,5180.722356
10274.781429,9.924151,25,1.134929,8,2,34,15,248.103775
13394.687238,2115.852686,3,1.169688,9,3,5,3,6347.5580580000005
15349.561839,759.758628,11,0.146437,10,2,15,7,8357.344908000001
19787.304951000002,123981.2727,2,1.691955,11,2,3,2,247962.5454
20725.089606,32227.4461,3,0.438828,12,2,5,2,96682.3383
26203.224681,1554.068799,4,1.433392,13,3,7,4,6216.275196
27180.793872,34.790836,32,0.879695,14,3,52,26,1113.306752
30565.651815,231593.4826,3,1.075416,15,3,5,3,694780.4478
30668.311872000002,8.371296,36,0.968447,16,3,58,29,301.366656
32112.626256,73573.78316,61,1.274554,17,3,98,49,4488000.77276
41348.936592000005,580.758792,3,0.512425,18,1,3,3,1742.2763759999998
47620.827909,1191.782551,2,0.774593,19,2,3,2,2383.565102
48610.313766,15.790373,5,0.994014,20,3,8,4,78.951865
57076.879112999995,338025.8459,6,0.565415,21,3,10,5,2028155.0754
57923.949978000004,97.626799,8,1.111541,22,2,11,5,781.014392
59550.41681100001,40.19389,8,1.013811,23,2,11,5,321.55112
70075.960164,7159.558649,3,0.551172,24,2,5,2,21478.675947
70772.12426699999,907.507948,4,1.697329,25,2,6,3,3630.031792
73697.703849,9267.474527,63,1.433619,26,2,86,38,583850.895201
76019.27841,162331.5292,61,1.691546,27,3,98,49,9902223.2812
79941.12321599999,14259.82672,5,1.469098,28,2,7,3,71299.1336
89215.854462,294.11005,5,1.027437,29,3,8,4,1470.55025
94673.87333999999,6152.196136,6,0.756208,30,3,10,5,36913.176816
99539.23617,36.135244,3,0.91612,31,3,5,3,108.405732
110215.06848,414367.0787,16,1.901678,32,3,26,13,6629873.2592
111420.90549,1147.38942,5,1.185098,33,2,7,3,5736.947099999999
114148.94859,606597.1859,54,1.472275,34,3,87,44,32756248.0386
123711.48090000001,171760.1785,70,0.797668,35,2,95,42,12023212.495
124490.76488999999,8790.048867,46,0.352298,36,1,46,46,404342.247882
125725.52322,660.57663,2,1.819047,37,2,3,2,1321.15326
131491.3311,1474723.657,24,1.529392,38,3,39,20,35393367.768
135646.69220999998,1467.068005,5,1.23592,39,3,8,4,7335.340025
137275.3638,5.012044,62,0.954853,40,2,84,38,310.746728
139264.88031,4421.403852,13,0.946808,41,3,21,11,57478.250076
139727.33127000002,101.573043,10,1.426432,42,3,16,8,1015.73043
142229.70135000002,657.54415,40,1.163059,43,3,64,32,26301.766
143515.35413999998,88704.45699,3,0.722286,44,3,5,3,266113.37097000005
149828.21514,18274.01643,73,0.909749,45,3,117,59,1334003.19939
149864.01929999999,5.991726,4,1.810925,46,1,4,4,23.966904
158972.01651,1280.596086,2,1.231706,47,3,4,2,2561.192172
159049.49841,2330.344159,3,0.946907,48,3,5,3,6991.032477000001
160693.79418000003,1131048.287,14,0.818877,49,3,23,12,15834676.018
161105.75936999999,8.287455,4,0.233691,50,1,4,4,33.14982
162003.9087,97.479011,2,1.403179,51,3,4,2,194.958022
165717.62271,44089.00966,30,1.17532,52,1,30,30,1322670.2898
169684.93197,22681.20031,2,0.668241,53,3,4,2,45362.40062
169877.55015000002,222.363275,28,0.205654,54,3,45,23,6226.1717
170108.66628,46932.47002,25,1.017181,55,3,40,20,1173311.7505
174972.45654,637.407869,3,0.915404,56,3,5,3,1912.223607
176514.87402,54.553556,30,1.345087,57,2,41,18,1636.60668
178963.60347,2423571.758,15,0.425924,58,2,21,9,36353576.37
184070.90321999998,2926.886151,3,0.455021,59,1,3,3,8780.658453
186459.52617,30.980894,2,0.407656,60,3,4,2,61.961788
186713.74917,19.003666,78,1.257874,61,2,106,47,1482.285948
195067.31562,358184.1021,2,0.493794,62,2,3,2,716368.2042
197063.05437,456305.5793,10,0.563694,63,2,14,6,4563055.793
199801.94184,87825.80733,10,0.035886,64,2,14,6,878258.0732999999
207902.96847,58.860262,8,0.568106,65,2,11,5,470.882096
211926.59325,102436.2113,16,0.832186,66,1,16,16,1638979.3808
212326.38045,330.471445,2,1.691556,67,2,3,2,660.94289
213318.1539,1008987.58,38,1.511337,68,1,38,38,38341528.04
220334.07150000002,157.304765,2,1.227968,69,2,3,2,314.60953
222199.63722,4.648143,4,0.121882,70,3,7,4,18.592572
226432.55187,19.998485,4,1.414277,71,2,6,3,79.99394
227528.07138,2627183.526,3,0.629308,72,2,5,2,7881550.578
234021.15072,45.102172,28,0.427123,73,2,38,17,1262.860816
235113.92514,1467844.885,74,1.02764,74,3,119,60,108620521.49
241801.78212,16732.38775,84,0.278341,75,3,135,68,1405520.5710000002
243678.92706,44402.26445,4,1.712024,76,2,6,3,177609.0578
247296.99231,14.897064,55,1.157831,77,2,75,33,819.33852
250983.25227,155.609916,38,0.959988,78,3,61,31,5913.176808
255921.21774000002,13685.29668,36,1.891246,79,2,49,22,492670.68048
256489.04709000004,25681.7398,31,1.581026,80,3,50,25,796133.9338
258923.13552,922679.5058,35,0.885978,81,3,56,28,32293782.703
271152.1656,2946618.954,28,0.572462,82,3,45,23,82505330.712
273385.03023000003,12866.05578,77,0.757459,83,3,124,62,990686.29506
274139.29431,42354.93384,9,1.185723,84,2,13,6,381194.40456
282794.23620000004,202484.1419,33,1.713812,85,3,53,27,6681976.6827
284432.42547,44722.25473,6,0.710195,86,3,10,5,268333.52838000003
286238.94246,250487.8055,6,0.695554,87,2,9,4,1502926.833
288820.64268000005,500.088348,4,0.355732,88,3,7,4,2000.353392
296063.49042,32578.05827,4,0.126131,89,3,7,4,130312.23308
298663.19837999996,402127.9207,28,1.802042,90,2,38,17,11259581.7796
298986.97644,1990021.657,3,1.350623,91,3,5,3,5970064.971
299026.28205000004,125.162596,11,0.768849,92,3,18,9,1376.788556
299044.40598,1553606.621,8,0.770026,93,3,13,7,12428852.968
300176.83224,282912.4468,20,1.895184,94,2,27,12,5658248.936
303783.7941,5.756886,21,1.144815,95,2,29,13,120.894606
304824.74679,3.393693,75,0.904089,96,2,102,45,254.526975
307687.61007,411.192156,52,1.286641,97,3,84,42,21381.992112
308826.83268,19314.83536,4,0.41564,98,2,6,3,77259.34144
309084.58161000005,49.788776,76,0.719516,99,3,122,61,3783.946976
313356.54186,6.593878,7,1.836625,100,1,7,7,46.157146
316130.3739,78.529048,2,0.166314,101,2,3,2,157.058096
321856.89579,204614.1374,40,0.240369,102,2,54,24,8184565.496
322861.12146,4222.469131,16,1.200216,103,2,22,10,67559.506096
324280.71027,182.412846,36,1.866996,104,2,49,22,6566.862456
324937.72620000003,433028.3677,24,1.545461,105,2,33,15,10392680.8248
328793.13,4.476622,4,1.406888,106,3,7,4,17.906488
332838.95670000004,15.115639,3,0.652518,107,1,3,3,45.346917
332873.13321,2623.891532,2,1.610492,108,1,2,2,5247.783064
337184.82666,4832.683706,2,1.718889,109,2,3,2,9665.367412
341026.05132,2935.157923,7,0.178815,110,2,10,5,20546.105461000003
341253.40914,818288.1013,4,1.270798,111,2,6,3,3273152.4052
343440.9459,1198408.39,24,1.537425,112,3,39,20,28761801.36
344796.7977,5.524463,29,1.661708,113,2,40,18,160.209427
