S_ime,R_time,Processors,Sigma,id,type,Max_resource,Min_resource,Total_cost
0.0,8497.339534,2,0.245417,1,1,2,2,16994.679068
1468.9555262499998,70.963555,2,0.972174,2,1,2,2,141.92711
2405.1819123,18009.10014,3,0.560986,3,1,3,3,54027.30042
4329.3402641,123205.2282,7,0.880554,4,1,7,7,862436.5974
7764.62243245,31.017399,9,0.752653,5,1,9,9,279.156591
9592.4854925,7.175732,6,0.453731,6,1,6,6,43.054392
23266.291806,431.726863,7,0.46404,7,1,7,7,3022.088041
30503.2573715,9.924151,12,1.134929,8,1,12,12,119.089812
39765.477729499995,2115.852686,2,1.169688,9,1,2,2,4231.705372
45569.0116935,759.758628,6,0.146437,10,1,6,6,4558.551768
58743.561581,123981.2727,2,1.691955,11,1,2,2,247962.5454
61527.609768999995,32227.4461,3,0.438828,12,1,3,3,96682.3383
77790.8232735,1554.068799,3,1.433392,13,1,3,3,4662.206397
80692.981798,34.790836,15,0.879695,14,1,15,15,521.86254
90741.778824,231593.4826,3,1.075416,15,1,3,3,694780.4478
91046.5508795,8.371296,16,0.968447,16,3,26,13,133.940736
95334.35914999999,73573.78316,24,1.274554,17,1,24,24,1765770.7958400005
122754.65546,580.758792,3,0.512425,18,1,3,3,1742.2763759999998
141374.33284,1191.782551,2,0.774593,19,1,2,2,2383.565102
144311.868975,15.790373,4,0.994014,20,1,4,4,63.161492
169446.98484,338025.8459,4,0.565415,21,1,4,4,1352103.3836
171961.726515,97.626799,5,1.111541,22,1,5,5,488.133995
176790.299875,40.19389,5,1.013811,23,1,5,5,200.96945
208038.00672499998,7159.558649,3,0.551172,24,1,3,3,21478.675947
210104.74388499997,907.507948,3,1.697329,25,3,5,3,2722.5238440000003
218790.058275,9267.474527,25,1.433619,26,3,40,20,231686.863175
225682.23275,162331.5292,24,1.691546,27,1,24,24,3895956.7008
237325.209595,14259.82672,4,1.469098,28,1,4,4,57039.30688
264859.56794,294.11005,4,1.027437,29,1,4,4,1176.4402
281063.06139499997,6152.196136,4,0.756208,30,1,4,4,24608.784544
295507.10744500003,36.135244,3,0.91612,31,1,3,3,108.405732
327200.98454999994,414367.0787,9,1.901678,32,1,9,9,3729303.7083
330780.81331,1147.38942,4,1.185098,33,2,6,3,4589.55768
338879.691085,606597.1859,22,1.472275,34,3,36,18,13345138.0898
367268.459005,171760.1785,27,0.797668,35,2,37,17,4637524.8195
369581.95819000003,8790.048867,20,0.352298,36,1,20,20,175800.97733999998
373247.647,660.57663,2,1.819047,37,1,2,2,1321.15326
390364.88931,1474723.657,12,1.529392,38,1,12,12,17696683.884
402701.117445,1467.068005,4,1.23592,39,2,6,3,5868.27202
407536.2364,5.012044,24,0.954853,40,1,24,24,120.28905600000002
413442.613355,4421.403852,7,0.946808,41,1,7,7,30949.826964000003
414815.51469,101.573043,6,1.426432,42,2,9,4,609.438258
422244.42595999996,657.54415,18,1.163059,43,1,18,18,11835.7947
426061.20771,88704.45699,3,0.722286,44,2,5,2,266113.37097000005
444802.51378,18274.01643,27,0.909749,45,1,27,27,493398.44361
444908.80718999996,5.991726,3,1.810925,46,1,3,3,17.975178
471948.17392499995,1280.596086,2,1.231706,47,1,2,2,2561.192172
472178.198375,2330.344159,2,0.946907,48,1,2,2,4660.688318
477059.701555,1131048.287,8,0.818877,49,1,8,8,9048386.296
478282.7231,8.287455,3,0.233691,50,1,3,3,24.862365
