S_ime,R_time,Processors,Sigma,id,type,Max_resource,Min_resource,Total_cost
0.0,8497.339534,2,0.245417,1,1,2,2,16994.679068
773.134487,70.963555,2,0.972174,2,1,2,2,141.92711
1265.885217,18009.100135,3,0.560986,3,1,3,3,54027.300405
2278.600139,123205.228198,10,0.880554,4,2,14,6,1232052.28198
4086.643386,31.017399,13,0.752653,5,1,13,13,403.226187
5048.676575,7.175732,8,0.453731,6,2,11,5,57.405856
12245.416738,431.726863,10,0.46404,7,1,10,10,4317.26863
16054.345985,9.924151,19,1.134929,8,1,19,19,188.558869
20929.198805,2115.852686,3,1.169688,9,1,3,3,6347.5580580000005
23983.690366,759.758628,9,0.146437,10,1,9,9,6837.827652
30917.663988,123981.272674,2,1.691955,11,1,2,2,247962.545348
32382.952507,32227.446102,3,0.438828,12,1,3,3,96682.338306
40942.538563,1554.068799,3,1.433392,13,1,3,3,4662.206397
42469.99042,34.790836,25,0.879695,14,1,25,25,869.7709
47758.83096,231593.482555,3,1.075416,15,1,3,3,694780.447665
47919.237303,8.371296,28,0.968447,16,1,28,28,234.396288
50175.978524,73573.783163,45,1.274554,17,2,61,27,3310820.242335
64607.713421,580.758792,3,0.512425,18,1,3,3,1742.2763759999998
74407.543608,1191.782551,2,0.774593,19,1,2,2,2383.565102
75953.615254,15.790373,4,0.994014,20,1,4,4,63.161492
89182.623619,338025.845896,5,0.565415,21,1,5,5,1690129.22948
90506.171845,97.626799,7,1.111541,22,1,7,7,683.387593
93047.526272,40.19389,7,1.013811,23,1,7,7,281.35723
109493.68776,7159.558649,3,0.551172,24,1,3,3,21478.675947
110581.444172,907.507948,3,1.697329,25,1,3,3,2722.5238440000003
115152.662261,9267.474527,46,1.433619,26,1,46,46,426303.828242
118780.12252,162331.529208,45,1.691546,27,1,45,45,7304918.814359999
124908.005029,14259.82672,4,1.469098,28,1,4,4,57039.30688
139399.772593,294.11005,5,1.027437,29,1,5,5,1470.55025
147927.927069,6152.196136,6,0.756208,30,2,9,4,36913.176816
155530.056557,36.135244,3,0.91612,31,1,3,3,108.405732
172211.044496,414367.078653,13,1.901678,32,1,13,13,5386772.022489
174095.164882,1147.38942,5,1.185098,33,1,5,5,5736.947099999999
178357.732144,606597.185863,40,1.472275,34,1,40,40,24263887.43452
193299.188971,171760.178542,51,0.797668,35,1,51,51,8759769.105642
194516.820122,8790.048867,35,0.352298,36,1,35,35,307651.710345
196446.129982,660.57663,2,1.819047,37,1,2,2,1321.15326
205455.204893,1474723.657415,19,1.529392,38,1,19,19,28019749.490885
211947.956526,1467.068005,4,1.23592,39,1,4,4,5868.27202
214492.75598,5.012044,46,0.954853,40,2,63,28,230.55402400000003
217601.375451,4421.403852,11,0.946808,41,1,11,11,48635.442372000005
218323.955091,101.573043,8,1.426432,42,1,8,8,812.584344
222233.908394,657.54415,30,1.163059,43,1,30,30,19726.3245
224242.740902,88704.456986,3,0.722286,44,1,3,3,266113.370958
234106.586203,18274.016427,53,0.909749,45,1,53,53,968522.870631
234162.530106,5.991726,4,1.810925,46,1,4,4,23.966904
248393.775737,1280.596086,2,1.231706,47,2,3,2,2561.192172
248514.841231,2330.344159,2,0.946907,48,1,2,2,4660.688318
251084.053463,1131048.287483,12,0.818877,49,1,12,12,13572579.449796
251727.748988,8.287455,3,0.233691,50,2,5,2,24.862365
253131.107357,97.479011,2,1.403179,51,1,2,2,194.958022
258933.785495,44089.009658,24,1.17532,52,1,24,24,1058136.231792
265132.706259,22681.200307,2,0.668241,53,1,2,2,45362.400614
265433.672094,222.363275,22,0.205654,54,2,30,14,4891.99205
265794.791062,46932.470016,19,1.017181,55,1,19,19,891716.930304
273394.463327,637.407869,3,0.915404,56,2,5,2,1912.223607
275804.490709,54.553556,23,1.345087,57,1,23,23,1254.731788
279630.630467,2423571.75783,13,0.425924,58,2,18,8,31506432.85179
287610.786265,2926.886151,3,0.455021,59,1,3,3,8780.658453
291343.00957,30.980894,2,0.407656,60,1,2,2,61.961788
291740.233078,19.003666,56,1.257874,61,1,56,56,1064.205296
304792.680687,358184.102094,2,0.493794,62,1,2,2,716368.204188
307911.022464,456305.579295,9,0.563694,63,1,9,9,4106750.213655
312190.534063,87825.807328,9,0.035886,64,1,9,9,790432.2659519999
324848.388233,58.860262,7,0.568106,65,2,10,5,412.021834
331135.3019,102436.211331,13,0.832186,66,1,13,13,1331670.747303
331759.969475,330.471445,2,1.691556,67,1,2,2,660.94289
333309.615459,1008987.580273,29,1.511337,68,1,29,29,29260639.827917
344271.986706,157.304765,2,1.227968,69,1,2,2,314.60953
347186.933175,4.648143,4,0.121882,70,1,4,4,18.592572
353800.862277,19.998485,3,1.414277,71,1,3,3,59.99545499999999
355512.611561,2627183.526319,3,0.629308,72,1,3,3,7881550.578957
365658.047934,45.102172,22,0.427123,73,1,22,22,992.247784
367365.508084,1467844.884791,54,1.02764,74,1,54,54,79263623.778714
377815.284544,16732.387747,60,0.278341,75,2,81,36,1003943.26482
380748.323594,44402.264448,4,1.712024,76,1,4,4,177609.057792
386401.550433,14.897064,41,1.157831,77,1,41,41,610.779624
392161.331724,155.609916,29,0.959988,78,1,29,29,4512.687564
399876.902671,13685.296682,28,1.891246,79,1,28,28,383188.307096
400764.136146,25681.739802,24,1.581026,80,1,24,24,616361.755248
404567.399249,922679.505773,27,0.885978,81,2,37,17,24912346.655871
423675.258799,2946618.954497,22,0.572462,82,1,22,22,64825616.998934
427164.109786,12866.055784,56,0.757459,83,1,56,56,720499.123904
428342.647411,42354.933844,7,1.185723,84,1,7,7,296484.536908
441865.994082,202484.141858,25,1.713812,85,1,25,25,5062103.546449999
444425.66486,44722.254733,6,0.710195,86,1,6,6,268333.528398
447248.347646,250487.805501,6,0.695554,87,1,6,6,1502926.833006
451282.254192,500.088348,3,0.355732,88,1,3,3,1500.265044
462599.203777,32578.058268,3,0.126131,89,1,3,3,97734.174804
466661.24751,402127.920681,22,1.802042,90,1,22,22,8846814.254982
467167.150704,1990021.657177,3,1.350623,91,1,3,3,5970064.971531
467228.565646,125.162596,9,0.768849,92,1,9,9,1126.463364
467256.884408,1553606.620721,7,0.770026,93,2,10,5,10875246.345047
469026.300404,282912.446831,16,1.895184,94,1,16,16,4526599.149296
474662.178284,5.756886,17,1.144815,95,1,17,17,97.867062
476288.666855,3.393693,55,0.904089,96,1,55,55,186.653115
480761.890771,411.192156,38,1.286641,97,1,38,38,15625.301928
482541.926075,19314.835357,4,0.41564,98,1,4,4,77259.341428
482944.658787,49.788776,55,0.719516,99,1,55,55,2738.38268
489619.596718,6.593878,6,1.836625,100,1,6,6,39.563268
493953.709262,78.529048,2,0.166314,101,1,2,2,157.058096
502901.399737,204614.137365,30,0.240369,102,2,41,18,6138424.12095
504470.502318,4222.469131,13,1.200216,103,1,13,13,54892.098703
506688.609742,182.412846,28,1.866996,104,1,28,28,5107.559688
507715.197129,433028.367737,19,1.545461,105,1,19,19,8227538.987002999
513739.265633,4.476622,4,1.406888,106,1,4,4,17.906488
520060.869832,15.115639,3,0.652518,107,2,5,2,45.346917
520114.270688,2623.891532,2,1.610492,108,2,3,2,5247.783064
526851.291714,4832.683706,2,1.718889,109,1,2,2,9665.367412
532853.205135,2935.157923,6,0.178815,110,1,6,6,17610.947538
533208.451824,818288.101286,4,1.270798,111,2,6,3,3273152.405144
536626.477971,1198408.389873,19,1.537425,112,1,19,19,22769759.407587003
538744.996389,5.524463,23,1.661708,113,1,23,23,127.062649
539011.696684,267802.318947,36,1.894263,114,1,36,36,9640883.482092
542764.60978,48.346838,2,1.187584,115,1,2,2,96.693676
548867.265588,684571.640795,11,1.429058,116,1,11,11,7530288.048745
548948.60005,23373.999037,39,0.533884,117,1,39,39,911585.962443
551874.020367,124112.240966,3,0.504515,118,1,3,3,372336.722898
552733.762067,827799.261888,12,1.173217,119,2,17,8,9933591.142655998
552998.224496,4998.773582,10,1.609732,120,2,14,6,49987.73582
561472.873332,127.544595,17,0.667556,121,1,17,17,2168.258115
562947.479811,16966.396815,23,0.589601,122,1,23,23,390227.126745
564502.870818,143.76045,60,1.210572,123,1,60,60,8625.627
571090.553116,26.131653,4,0.936863,124,2,6,3,104.526612
571925.146376,215.574133,4,0.841331,125,1,4,4,862.296532
587552.064212,500.788016,6,1.186498,126,2,9,4,3004.7280960000003
588022.328293,134688.184048,7,1.178353,127,1,7,7,942817.288336
593820.246782,291.811787,21,0.114549,128,1,21,21,6128.047527
607446.878433,165195.493317,43,0.08521,129,1,43,43,7103406.212630999
611384.30208,203.233367,10,1.515292,130,2,14,6,2032.33367
611614.152344,12755.278665,2,0.526609,131,1,2,2,25510.55733
