cores,time,running_job_len
2.0,0.0,1.0
4.0,1546.268975,2.0
2.0,1617.23253,1.0
5.0,2531.770434,2.0
12.0,4557.200278,3.0
29.0,8173.286770999999,4.0
20.0,8200.590688955815,3.0
18.0,8497.339534,2.0
25.0,10097.353151000001,3.0
20.0,10105.897941119942,2.0
15.0,17009.575295310937,1.0
22.0,24490.833475,2.0
15.0,24832.77607287384,1.0
27.0,32108.691970999997,2.0
15.0,32118.616121999996,1.0
17.0,41858.397611,2.0
15.0,43974.250297,1.0
21.0,47967.380732,2.0
15.0,48727.13936,1.0
17.0,61835.327976,2.0
20.0,64765.905015,3.0
5.0,65352.08373170433,2.0
8.0,81885.077125,3.0
5.0,83439.145924,2.0
20.0,84939.980839,3.0
5.0,84973.67405152961,2.0
8.0,95517.66192,3.0
28.0,95838.474605,4.0
12.0,95846.845901,3.0
9.0,96993.351117,2.0
33.0,100351.957049,3.0
36.0,129215.42684300001,4.0
33.0,129796.185635,3.0
35.0,148815.087216,4.0
33.0,150006.86976700003,3.0
37.0,151907.230507,4.0
33.0,151923.49739495144,3.0
9.0,173925.740212,2.0
13.0,178365.247238,3.0
23.0,181012.34369,4.0
18.0,181109.970489,3.0
16.0,185816.60065,2.0
21.0,186095.052545,3.0
16.0,186135.246435,2.0
9.0,198717.44924002196,1.0
12.0,218987.375519,2.0
15.0,221162.888344,3.0
12.0,222070.39629200002,2.0
9.0,226146.934168,1.0
34.0,230305.32452199998,2.0
74.0,237560.24503899997,3.0
33.0,237801.00478531513,2.0
61.0,249816.01005799999,3.0
57.0,260117.34660845826,2.0
61.0,278799.545185,3.0
57.0,279017.1051175839,2.0
61.0,295855.854139,3.0
57.0,302008.050275,2.0
60.0,311060.113114,3.0
57.0,311096.248358,2.0
9.0,326710.15230238583,1.0
0.0,333897.5712038076,0.0
9.0,344422.08899099997,1.0
13.0,348190.32976500003,2.0
9.0,349337.71918500005,1.0
31.0,356715.464288,2.0
58.0,386598.377942,3.0
78.0,389033.640244,4.0
80.0,392892.25996399997,5.0
78.0,393387.69927564287,4.0
58.0,397823.689111,3.0
70.0,410910.40978499997,4.0
74.0,423895.913052,5.0
70.0,425362.981057,4.0
94.0,428985.51196,5.0
70.0,428990.52400399995,4.0
77.0,435202.75090200006,5.0
83.0,436647.91018199996,6.0
80.0,436749.483225,5.0
70.0,438478.0489908227,4.0
88.0,444467.81678900006,5.0
70.0,445000.03786422027,4.0
73.0,448485.481804,5.0
100.0,468213.172405,6.0
103.0,468325.060212,7.0
101.0,468331.05193799996,6.0
74.0,486487.188832,5.0
76.0,496787.551474,6.0
78.0,497029.682463,7.0
77.0,498068.14755999995,6.0
74.0,499022.86378960614,5.0
83.0,502168.10692600004,6.0
86.0,503455.497975,7.0
83.0,503463.78543,6.0
85.0,506262.21471499995,7.0
84.0,506340.6717185642,6.0
81.0,517114.33462543105,5.0
95.0,517867.57099,6.0
97.0,530265.412517,7.0
110.0,530867.344187,8.0
97.0,531089.707462,7.0
109.0,531589.582124,8.0
112.0,546788.926654,9.0
110.0,547426.3345229999,8.0
107.0,549575.2578324918,7.0
121.0,551608.9814180001,8.0
107.0,551658.7366589407,7.0
80.0,558358.5564840001,6.0
89.0,559261.260935,7.0
75.0,561956.580648,6.0
78.0,575221.572531,7.0
75.0,578148.458682,6.0
63.0,578522.0521399999,5.0
65.0,582686.01914,6.0
63.0,582714.3777957888,5.0
92.0,583480.466156,6.0
60.0,583499.469822,5.0
69.0,609585.361373,6.0
75.0,615822.044928,7.0
88.0,624381.068125,8.0
100.0,649696.776466,9.0
95.0,649755.636728,8.0
104.0,662270.6038,9.0
106.0,663519.938949,10.0
104.0,663850.410394,9.0
121.0,666619.230917,10.0
108.0,679170.6198029498,9.0
110.0,688543.973412,10.0
108.0,688701.278177,9.0
111.0,694373.86635,10.0
108.0,694378.514493,9.0
111.0,707601.724555,10.0
115.0,707621.72304,9.0
117.0,711025.223122,10.0
130.0,731316.0958680001,11.0
117.0,731360.7707253223,10.0
108.0,734212.5155900985,9.0
136.0,734731.016167,10.0
194.0,755630.569089,11.0
198.0,761496.647187,12.0
189.0,764706.815131,11.0
165.0,772362.956836,10.0
187.0,772803.1008649999,11.0
166.0,772817.997929,10.0
183.0,784322.663448,11.0
167.0,784449.7927541876,10.0
162.0,797165.7664826185,9.0
178.0,799753.805341,10.0
209.0,801528.272292,11.0
177.0,807605.9766139634,10.0
208.0,809134.798499,11.0
179.0,818327.3992914,10.0
136.0,832185.2777723185,9.0
123.0,836489.1895581809,8.0
137.0,847350.517598,9.0
179.0,854328.219573,10.0
185.0,856685.2948220001,11.0
156.0,867194.275357,10.0
151.0,869937.9955297771,9.0
170.0,883731.988164,10.0
176.0,888851.32972,11.0
164.0,889663.6498407366,10.0
168.0,894496.695292,11.0
171.0,902564.508384,12.0
170.0,903064.596732,11.0
164.0,923774.8945405985,10.0
167.0,925198.407553,11.0
184.0,933322.495019,12.0
187.0,934334.3014079999,13.0
193.0,934457.1312909999,14.0
205.0,934513.768815,15.0
192.0,934547.6801984033,14.0
202.0,938052.600808,15.0
195.0,944200.1055142109,14.0
206.0,949324.356568,15.0
195.0,949336.2923904107,14.0
223.0,952577.33371,15.0
195.0,952588.9732160892,14.0
216.0,961523.781542,15.0
200.0,961934.973698,14.0
203.0,965083.8521489999,15.0
236.0,965889.317573,16.0
207.0,965939.106349,15.0
200.0,974044.025696958,14.0
205.0,979239.193437,15.0
200.0,979245.7873150001,14.0
202.0,987907.418525,15.0
195.0,987985.947573,14.0
212.0,1005802.799475,15.0
238.0,1008941.004636,16.0
229.0,1013163.473767,15.0
245.0,1013377.219485,16.0
229.0,1013559.6323310001,15.0
241.0,1015430.394258,16.0
248.0,1027478.531266,17.0
250.0,1027483.007888,16.0
252.0,1040121.739665,17.0
250.0,1040136.855304,16.0
252.0,1040228.541375,17.0
254.0,1042852.4329070001,16.0
256.0,1053702.583427,17.0
256.0,1055683.9837464602,17.0
256.0,1056449.7486948275,17.0
256.0,1056796.2413177243,17.0
251.0,1057214.2292767523,16.0
231.0,1063766.0728438296,15.0
239.0,1065706.41027,16.0
242.0,1066416.903647,17.0
237.0,1068280.878572409,16.0
253.0,1073252.955941,17.0
256.0,1085531.0675826643,20.0
256.0,1085532.8177184449,20.0
256.0,1085534.2205325435,20.0
232.0,1085537.4746618483,19.0
230.0,1085568.642266613,18.0
256.0,1097734.531175,19.0
256.0,1098194.94249821,19.0
256.0,1100007.9438288477,19.0
222.0,1111576.4005185608,18.0
256.0,1111576.5505363957,22.0
256.0,1122904.44695972,22.0
256.0,1113576.0599691959,22.0
256.0,1114443.9598672162,22.0
243.0,1115585.026104946,21.0
256.0,1122945.746665,22.0
256.0,1122998.03994895,22.0
256.0,1123020.620301917,22.0
237.0,1123048.6880160295,21.0
256.0,1125894.9596219999,22.0
256.0,1134472.6257396569,22.0
235.0,1134950.3995555607,21.0
256.0,1142182.0771246091,23.0
253.0,1142207.237884,22.0
223.0,1142325.837574609,21.0
209.0,1142861.356437,20.0
256.0,1143850.292751,21.0
253.0,1144065.8668840001,20.0
249.0,1144984.500793,19.0
224.0,1149156.2207016079,18.0
256.0,1175104.128423,19.0
251.0,1175604.916439,18.0
256.0,1176044.656586,19.0
256.0,1178206.6008082,19.0
249.0,1184137.5964170552,18.0
256.0,1222770.274942929,21.0
249.0,1222971.8375280001,20.0
236.0,1223060.7044484294,19.0
256.0,1223228.304687,20.0
254.0,1235983.5833520002,19.0
256.0,1235988.5380246402,23.0
256.0,1236069.4951202404,23.0
256.0,1236102.495780941,23.0
256.0,1236117.460282138,23.0
256.0,1236125.0694061161,23.0
244.0,1236135.721579421,22.0
233.0,1236207.2121982477,21.0
230.0,1236217.1715996403,20.0
256.0,1239175.27245,21.0
256.0,1240061.3155993738,21.0
232.0,1239225.039113,20.0
228.0,1241171.604699389,19.0
256.0,1242982.754515,20.0
249.0,1242988.379118,19.0
256.0,1248920.3515874112,19.0
246.0,1268000.8679437172,18.0
256.0,1268001.4451064733,20.0
256.0,1270088.4066582334,20.0
256.0,1270953.4861345964,20.0
256.0,1271358.7001198365,20.0
256.0,1271558.413038599,20.0
243.0,1271813.7595628228,19.0
256.0,1280237.5500049999,20.0
256.0,1284171.1118184545,20.0
254.0,1281257.103647,19.0
256.0,1290500.427202899,19.0
256.0,1319620.7470647173,19.0
247.0,1325997.2938294113,18.0
256.0,1325998.9747032884,22.0
256.0,1326017.1830053376,22.0
256.0,1326024.8565227482,22.0
252.0,1326034.443558451,21.0
241.0,1328316.249317383,20.0
232.0,1338137.3294102885,19.0
256.0,1340003.611469,20.0
256.0,1352099.5712319117,20.0
256.0,1352429.8659060001,20.0
256.0,1353239.1128548002,20.0
256.0,1353333.3865296643,20.0
256.0,1353588.283009314,20.0
256.0,1353756.5909724701,20.0
245.0,1353956.3025041842,19.0
256.0,1355390.516188618,20.0
244.0,1355836.964471474,19.0
213.0,1358062.373153618,18.0
256.0,1365504.390139,19.0
256.0,1371563.187493,19.0
210.0,1384409.3821842335,18.0
256.0,1384410.5772839976,21.0
240.0,1384433.4969102335,20.0
215.0,1384475.8796566278,19.0
256.0,1396316.622383,20.0
256.0,1408489.6892724659,20.0
256.0,1399079.3481986,20.0
256.0,1400377.848297996,20.0
225.0,1401891.4674133365,19.0
256.0,1412127.776883,20.0
256.0,1435275.9674909108,20.0
244.0,1448458.7619949998,19.0
256.0,1448466.6967496772,25.0
253.0,1448482.6887309037,24.0
241.0,1448959.8293671333,23.0
236.0,1449303.2575463988,22.0
256.0,1452390.524744,23.0
256.0,1459451.0148805918,23.0
256.0,1459467.5589485918,23.0
256.0,1459475.309878091,23.0
251.0,1459487.3486255063,22.0
256.0,1465485.6231972175,24.0
248.0,1465535.486527,23.0
241.0,1497685.612254677,22.0
256.0,1501490.905691,23.0
241.0,1507163.6856803128,22.0
256.0,1510411.344612,23.0
244.0,1510496.043764,22.0
256.0,1518374.2707180001,23.0
245.0,1518429.0959858138,22.0
256.0,1522953.9223129998,23.0
248.0,1523008.9814769998,22.0
242.0,1524111.1995102174,21.0
220.0,1527140.364011816,20.0
256.0,1530426.7607790001,21.0
254.0,1536024.563521,20.0
228.0,1547278.8157482336,19.0
256.0,1550931.241911,20.0
256.0,1555956.4171034,20.0
254.0,1553591.2232910001,19.0
230.0,1564420.6180441577,18.0
256.0,1576439.822184,19.0
256.0,1576686.3887816,19.0
256.0,1576932.6016936994,19.0
225.0,1576985.4901553236,18.0
256.0,1578126.882553,19.0
