cores,time,running_job_len
2.0,0.0,1.0
4.0,1546.268975,2.0
2.0,1617.23253,1.0
5.0,2531.770434,2.0
12.0,4557.200278,3.0
29.0,8173.286770999999,4.0
20.0,8204.30417,3.0
18.0,8497.339534,2.0
24.0,10097.353151000001,3.0
18.0,10104.528883,2.0
15.0,20540.870569,1.0
22.0,24490.833475,2.0
15.0,24922.560338,1.0
27.0,32108.691970999997,2.0
15.0,32118.616121999996,1.0
17.0,41858.397611,2.0
15.0,43974.250297,1.0
21.0,47967.380732,2.0
15.0,48727.13936,1.0
17.0,61835.327976,2.0
20.0,64765.905015,3.0
5.0,65745.1489442762,2.0
8.0,81885.077125,3.0
5.0,83439.145924,2.0
20.0,84939.980839,3.0
5.0,84974.771675,2.0
8.0,95517.66192,3.0
28.0,95838.474605,4.0
12.0,95846.845901,3.0
9.0,96993.351117,2.0
33.0,100351.957049,3.0
36.0,129215.42684300001,4.0
33.0,129796.185635,3.0
35.0,148815.087216,4.0
33.0,150006.86976700003,3.0
37.0,151907.230507,4.0
33.0,151923.02088,3.0
9.0,173925.740212,2.0
13.0,178365.247238,3.0
18.0,181012.34369,4.0
13.0,181109.970489,3.0
11.0,185816.60065,2.0
16.0,186095.052545,3.0
11.0,186135.246435,2.0
4.0,197333.38877118175,1.0
7.0,218987.375519,2.0
10.0,221162.888344,3.0
7.0,222070.39629200002,2.0
4.0,226146.934168,1.0
29.0,230305.32452199998,2.0
77.0,237560.24503899997,3.0
28.0,238604.73266441247,2.0
32.0,249816.01005799999,3.0
28.0,264075.836778,2.0
32.0,278799.545185,3.0
28.0,279093.655235,2.0
32.0,295855.854139,3.0
28.0,302008.050275,2.0
31.0,311060.113114,3.0
28.0,311096.248358,2.0
37.0,344422.08899099997,3.0
41.0,348190.32976500003,4.0
37.0,349337.71918500005,3.0
59.0,356715.464288,4.0
108.0,386598.377942,5.0
155.0,389033.640244,6.0
157.0,392892.25996399997,7.0
155.0,393552.836594,6.0
135.0,397823.689111,5.0
111.0,399891.774247,4.0
123.0,410910.40978499997,5.0
127.0,423895.913052,6.0
123.0,425362.981057,5.0
147.0,428985.51196,6.0
123.0,428990.52400399995,5.0
130.0,435202.75090200006,6.0
136.0,436647.91018199996,7.0
130.0,436749.483225,6.0
123.0,439624.1547540001,5.0
141.0,444467.81678900006,6.0
123.0,445125.36093900003,5.0
126.0,448485.481804,6.0
157.0,468213.172405,7.0
160.0,468325.060212,8.0
157.0,468331.05193799996,7.0
103.0,475376.0860826156,6.0
76.0,486487.188832,5.0
78.0,496787.551474,6.0
80.0,497029.682463,7.0
78.0,498068.14755999995,6.0
71.0,498482.3705847897,5.0
69.0,499360.026622,4.0
77.0,502168.10692600004,5.0
80.0,503455.497975,6.0
77.0,503463.78543,5.0
79.0,506262.21471499995,6.0
77.0,506359.69372599997,5.0
73.0,516391.09313399997,4.0
87.0,517867.57099,5.0
89.0,530265.412517,6.0
105.0,530867.344187,7.0
92.0,531089.707462,6.0
104.0,531589.582124,7.0
99.0,540113.8633693653,6.0
101.0,546788.926654,7.0
99.0,547426.3345229999,6.0
113.0,551608.9814180001,7.0
99.0,551663.5349740001,6.0
108.0,559261.260935,7.0
94.0,561956.580648,6.0
97.0,575221.572531,7.0
94.0,578148.458682,6.0
82.0,578522.0521399999,5.0
84.0,582686.01914,6.0
82.0,582717.000034,5.0
111.0,583480.466156,6.0
82.0,583499.469822,5.0
84.0,609585.361373,6.0
90.0,615822.044928,7.0
96.0,624381.068125,8.0
101.0,649696.776466,9.0
96.0,649755.636728,8.0
105.0,662270.6038,9.0
107.0,663519.938949,10.0
105.0,663850.410394,9.0
122.0,666619.230917,10.0
78.0,681894.2705588363,9.0
80.0,688543.973412,10.0
78.0,688701.278177,9.0
81.0,694373.86635,10.0
78.0,694378.514493,9.0
81.0,707601.724555,10.0
78.0,707621.72304,9.0
80.0,711025.223122,10.0
74.0,712206.875453,9.0
90.0,731316.0958680001,10.0
77.0,731361.19804,9.0
105.0,734731.016167,10.0
163.0,755630.569089,11.0
154.0,758789.1676439999,10.0
157.0,761496.647187,11.0
148.0,764706.815131,10.0
117.0,772362.956836,9.0
143.0,772803.1008649999,10.0
121.0,772817.997929,9.0
138.0,784322.663448,10.0
121.0,784478.273364,9.0
114.0,787476.1551188894,8.0
130.0,799753.805341,9.0
161.0,801528.272292,10.0
129.0,807596.5100268492,9.0
160.0,809134.798499,10.0
130.0,818365.1817429129,9.0
159.0,847350.517598,10.0
201.0,854328.219573,11.0
207.0,856685.2948220001,12.0
178.0,867194.275357,11.0
200.0,883731.988164,12.0
204.0,888851.32972,13.0
191.0,891025.9774795009,12.0
195.0,894496.695292,13.0
198.0,902564.508384,14.0
195.0,903064.596732,13.0
198.0,925198.407553,14.0
215.0,933322.495019,15.0
211.0,933573.584453,14.0
214.0,934334.3014079999,15.0
220.0,934457.1312909999,16.0
225.0,934513.768815,17.0
219.0,934582.293887,16.0
234.0,938052.600808,17.0
227.0,944188.3122438849,16.0
248.0,949324.356568,17.0
237.0,949330.1134540001,16.0
254.0,952577.33371,17.0
237.0,952582.9004529411,16.0
256.0,965084.077178888,18.0
235.0,965495.269334888,17.0
233.0,967769.463467,16.0
256.0,979239.8071746186,18.0
251.0,979245.7873150001,17.0
222.0,979289.5959506186,16.0
219.0,984398.6875059999,15.0
237.0,987907.418525,16.0
235.0,987985.947573,15.0
252.0,1005802.799475,16.0
256.0,1027480.3000810354,20.0
253.0,1027483.007888,19.0
237.0,1027661.6202959181,18.0
228.0,1031701.1318626258,17.0
256.0,1040121.739665,18.0
254.0,1040136.855304,17.0
256.0,1040228.541375,18.0
254.0,1042852.4329070001,17.0
256.0,1053702.583427,18.0
254.0,1058535.267133,17.0
256.0,1066417.2158017643,19.0
251.0,1069352.3737247642,18.0
245.0,1072127.624223,17.0
256.0,1073252.955941,18.0
241.0,1086216.130022,17.0
256.0,1086218.6174350292,20.0
242.0,1086221.654485,19.0
240.0,1086266.9642730292,18.0
256.0,1097734.531175,19.0
241.0,1106976.1024494132,18.0
256.0,1106982.5142940467,22.0
249.0,1111981.2878760467,21.0
256.0,1122945.746665,22.0
249.0,1123145.4600825876,21.0
228.0,1130353.0084486068,20.0
256.0,1130354.642237074,22.0
226.0,1130498.402687074,21.0
256.0,1142181.106231,22.0
253.0,1142207.237884,21.0
256.0,1143850.292751,22.0
253.0,1144065.8668840001,21.0
249.0,1144984.500793,20.0
235.0,1147319.405263607,19.0
256.0,1175104.128423,20.0
251.0,1175604.916439,19.0
256.0,1176044.656586,20.0
253.0,1231088.343415413,19.0
256.0,1231105.6543116462,25.0
249.0,1231298.6073929097,24.0
245.0,1231306.9451713304,23.0
234.0,1231327.1714176463,22.0
221.0,1231380.755524302,21.0
256.0,1231654.0809219999,22.0
253.0,1231882.714497,21.0
256.0,1233224.1301280002,22.0
254.0,1240487.00252,21.0
252.0,1243843.6220804132,20.0
256.0,1254866.1719068643,24.0
249.0,1254870.8135207137,23.0
225.0,1254914.355948052,22.0
222.0,1263317.835086678,21.0
256.0,1265451.330593,22.0
256.0,1282920.5398863025,22.0
254.0,1283940.0935283026,21.0
256.0,1295343.366904161,21.0
247.0,1331943.1141488643,20.0
256.0,1331945.0203901825,24.0
254.0,1331990.3157778643,23.0
223.0,1334615.64860342,22.0
210.0,1335450.4157,21.0
203.0,1335566.9678636852,20.0
256.0,1340003.611469,21.0
247.0,1344083.3750971826,20.0
256.0,1344084.529188921,22.0
251.0,1346106.4924691825,21.0
256.0,1354019.4631288617,21.0
237.0,1354302.5375458617,20.0
226.0,1355579.8231805125,19.0
256.0,1365504.390139,20.0
233.0,1390623.241064921,19.0
256.0,1390624.5309209458,22.0
246.0,1390661.628382984,21.0
221.0,1390700.8790759458,20.0
198.0,1396287.1850524927,19.0
256.0,1396316.622383,20.0
237.0,1403223.436922,19.0
256.0,1412127.776883,20.0
244.0,1460508.6678180355,19.0
256.0,1460517.0999414946,28.0
253.0,1460529.6766300355,27.0
250.0,1460556.3044693903,26.0
231.0,1460827.6182424899,25.0
226.0,1461352.6872780356,24.0
256.0,1465485.284673,25.0
253.0,1465535.486527,24.0
243.0,1471501.8195087386,23.0
256.0,1509730.92523975,23.0
256.0,1515404.167373182,23.0
244.0,1515488.866525182,22.0
256.0,1519142.6762544946,22.0
238.0,1519176.3314114946,21.0
256.0,1522953.9223129998,22.0
248.0,1523008.9814769998,21.0
256.0,1530426.7607790001,22.0
254.0,1536024.563521,21.0
256.0,1550931.241911,22.0
254.0,1553591.2232910001,21.0
243.0,1562166.9766533396,20.0
256.0,1576439.822184,21.0
244.0,1577410.7453505283,20.0
256.0,1578629.2591675103,22.0
224.0,1579393.6130785104,21.0
256.0,1581266.6308600002,22.0
243.0,1581989.067952,21.0
256.0,1618008.4986571905,23.0
253.0,1618049.0511599998,22.0
243.0,1621758.095782846,21.0
236.0,1623774.8466323067,20.0
256.0,1627184.3741417043,22.0
253.0,1627281.0833090001,21.0
245.0,1633216.394409,20.0
256.0,1636024.724312,21.0
256.0,1667300.9954906753,21.0
239.0,1675606.8111899998,20.0
229.0,1676458.6657203776,19.0
219.0,1681949.5497835744,18.0
256.0,1682414.203909,19.0
244.0,1682419.924444,18.0
256.0,1690263.9186860002,19.0
256.0,1692140.835876,19.0
254.0,1692256.427568,18.0
222.0,1716564.2392196378,17.0
256.0,1716564.9866807237,20.0
231.0,1718356.981586638,19.0
222.0,1718486.8711216024,18.0
256.0,1718693.041218,19.0
234.0,1838692.611116977,18.0
256.0,1838714.917037514,28.0
256.0,1838699.538128839,28.0
243.0,1838706.082809977,27.0
231.0,1838718.991700574,26.0
226.0,1838720.273647514,25.0
222.0,1838877.4173679769,24.0
218.0,1839066.4321837835,23.0
214.0,1839908.0415755464,22.0
256.0,1845726.2315900002,23.0
241.0,1847720.0438531905,22.0
225.0,1848370.5699630002,21.0
256.0,1853084.1196599999,22.0
256.0,1862475.0633147042,22.0
256.0,1885634.0672,22.0
247.0,1885698.838982,21.0
221.0,1886236.8270646199,20.0
256.0,1900021.885334,21.0
238.0,1900259.57694,20.0
211.0,1904813.6620110252,19.0
204.0,1912760.461906883,18.0
226.0,1920810.351713,19.0
207.0,1922913.5942310002,18.0
202.0,1932144.7935859999,17.0
205.0,1933215.497324,18.0
197.0,1934775.364337413,17.0
200.0,1935568.898582,18.0
197.0,1941527.486468,17.0
201.0,1943440.133541,18.0
203.0,1944606.074525,19.0
201.0,1944632.366847,18.0
215.0,1945486.7486299998,19.0
