cores,time,running_job_len
2.0,0.0,1.0
4.0,1546.268975,2.0
2.0,1617.23253,1.0
5.0,2531.770434,2.0
12.0,4557.200278,3.0
21.0,8173.286770999999,4.0
12.0,8201.354904552854,3.0
10.0,8497.339534,2.0
17.0,10097.353151000001,3.0
10.0,10104.528883,2.0
7.0,19493.917738150172,1.0
14.0,24490.833475,2.0
7.0,24922.560338,1.0
19.0,32108.691970999997,2.0
7.0,32118.616121999996,1.0
9.0,41858.397611,2.0
7.0,43468.67092285368,1.0
13.0,47967.380732,2.0
10.0,48727.13936,1.0
12.0,61835.327976,2.0
15.0,64765.905015,3.0
25.0,81885.077125,4.0
22.0,83439.145924,3.0
37.0,84939.980839,4.0
22.0,84974.771675,3.0
15.0,88596.49606778282,2.0
18.0,95517.66192,3.0
38.0,95838.474605,4.0
22.0,95850.3474692152,3.0
9.0,99058.8745991148,2.0
33.0,100351.957049,3.0
37.0,129215.42684300001,4.0
42.0,129796.185635,3.0
54.0,148815.087216,4.0
60.0,149915.24739348562,3.0
64.0,151907.230507,4.0
60.0,151922.59508803894,3.0
55.0,152018.739676009,2.0
7.0,157697.7499820515,1.0
11.0,178365.247238,2.0
21.0,181012.34369,3.0
16.0,181109.970489,2.0
21.0,186095.052545,3.0
16.0,186128.67898500184,2.0
9.0,197466.19244771052,1.0
12.0,218987.375519,2.0
19.0,221162.888344,3.0
16.0,222070.39629200002,2.0
9.0,223371.0923543111,1.0
34.0,230305.32452199998,2.0
74.0,237560.24503899997,3.0
33.0,237774.67158244498,2.0
37.0,249816.01005799999,3.0
33.0,264075.836778,2.0
37.0,278799.545185,3.0
33.0,279093.655235,2.0
37.0,295855.854139,3.0
41.0,302008.050275,2.0
44.0,311060.113114,3.0
49.0,311093.6550415766,2.0
40.0,334890.48199905985,1.0
49.0,344422.08899099997,2.0
61.0,348190.32976500003,3.0
57.0,349027.9721119684,2.0
79.0,356715.464288,3.0
31.0,363731.1219593898,2.0
58.0,386598.377942,3.0
78.0,389033.640244,4.0
80.0,392892.25996399997,5.0
78.0,393552.836594,4.0
58.0,397823.689111,3.0
70.0,410910.40978499997,4.0
74.0,423895.913052,5.0
70.0,425362.981057,4.0
94.0,428985.51196,5.0
70.0,428995.809791281,4.0
77.0,435202.75090200006,5.0
91.0,436647.91018199996,6.0
85.0,436731.42874575197,5.0
70.0,438073.01614371233,4.0
88.0,444467.81678900006,5.0
70.0,445125.36093900003,4.0
73.0,448485.481804,5.0
109.0,468213.172405,6.0
112.0,468325.060212,7.0
118.0,468331.05193799996,6.0
82.0,482359.31900517055,5.0
94.0,496787.551474,6.0
96.0,497029.682463,7.0
94.0,498068.14755999995,6.0
92.0,499360.026622,5.0
99.0,502168.10692600004,6.0
110.0,503455.497975,7.0
107.0,503463.78543,6.0
109.0,506262.21471499995,7.0
108.0,506359.69372599997,6.0
125.0,517867.57099,7.0
80.0,524507.3947845177,6.0
76.0,527390.514947026,5.0
78.0,530265.412517,6.0
91.0,530867.344187,7.0
78.0,531089.707462,6.0
90.0,531589.582124,7.0
92.0,546788.926654,8.0
90.0,547379.4404233072,7.0
104.0,551608.9814180001,8.0
90.0,551663.5349740001,7.0
88.0,552946.612824,6.0
97.0,559261.260935,7.0
83.0,561956.580648,6.0
86.0,575221.572531,7.0
83.0,578148.458682,6.0
71.0,578522.0521399999,5.0
73.0,582686.01914,6.0
71.0,582717.000034,5.0
100.0,583480.466156,6.0
74.0,583499.469822,5.0
76.0,609585.361373,6.0
85.0,615822.044928,7.0
98.0,624381.068125,8.0
110.0,649696.776466,9.0
105.0,649755.636728,8.0
114.0,662270.6038,9.0
116.0,663519.938949,10.0
114.0,663827.12282043,9.0
131.0,666619.230917,10.0
116.0,676693.2713623926,9.0
103.0,679238.4031421497,8.0
105.0,688543.973412,9.0
103.0,688660.2969213175,8.0
106.0,694373.86635,9.0
103.0,694379.362587041,8.0
106.0,707601.724555,9.0
103.0,707621.72304,8.0
105.0,711025.223122,9.0
118.0,731316.0958680001,10.0
105.0,731355.6623263201,9.0
133.0,734731.016167,10.0
191.0,755630.569089,11.0
186.0,760505.6257074702,10.0
189.0,761496.647187,11.0
190.0,764706.815131,10.0
149.0,768747.2226555203,9.0
171.0,772803.1008649999,10.0
150.0,772819.4729317274,9.0
167.0,784322.663448,10.0
149.0,784478.273364,9.0
165.0,799753.805341,10.0
196.0,801528.272292,11.0
193.0,803287.8709876159,10.0
161.0,807585.3850869823,9.0
192.0,809134.798499,10.0
162.0,818386.5802765599,9.0
149.0,836279.1129062033,8.0
178.0,847350.517598,9.0
220.0,854328.219573,10.0
226.0,856685.2948220001,11.0
197.0,864736.7129999792,10.0
219.0,883731.988164,11.0
223.0,888851.32972,12.0
210.0,890981.7884311618,11.0
214.0,894496.695292,12.0
217.0,902564.508384,13.0
216.0,903064.596732,12.0
210.0,920857.0837910878,11.0
213.0,925198.407553,12.0
226.0,933322.495019,13.0
242.0,934334.3014079999,14.0
252.0,934457.1312909999,15.0
256.0,934513.768815,16.0
249.0,934574.4612976656,15.0
256.0,938052.600808,16.0
256.0,938229.6308602,16.0
256.0,944133.2996886579,16.0
256.0,946981.022448378,16.0
256.0,948410.3077336942,16.0
249.0,950253.2323314605,15.0
227.0,963312.650151,14.0
256.0,963314.3714516899,17.0
256.0,964725.6449072,17.0
239.0,963318.2083320667,16.0
228.0,963318.407037,15.0
207.0,963725.5636076898,14.0
256.0,965083.8521489999,15.0
253.0,984398.6875059999,14.0
256.0,987909.9073452249,17.0
256.0,997196.6955474099,17.0
251.0,987916.5012232249,16.0
256.0,987929.2715133341,16.0
256.0,987939.0494163281,16.0
209.0,987953.7516655137,15.0
207.0,987985.947573,14.0
256.0,1005802.799475,15.0
256.0,1015547.10932515,15.0
256.0,1037894.9763336318,15.0
256.0,1055992.53358879,15.0
241.0,1074448.9445061837,14.0
256.0,1074471.4640300155,24.0
253.0,1074453.4211281838,23.0
251.0,1074464.0601451837,22.0
235.0,1074632.4839218955,21.0
229.0,1076914.037816162,20.0
230.0,1077078.876021051,19.0
226.0,1077397.1669275642,18.0
256.0,1077489.9927790002,19.0
256.0,1077492.2578088301,19.0
256.0,1077493.6805029488,19.0
232.0,1077496.833647431,18.0
217.0,1077840.6724492458,17.0
256.0,1078023.393368,18.0
252.0,1078060.7549015807,17.0
236.0,1078860.8208499253,16.0
256.0,1085529.219559,17.0
256.0,1085549.0417625802,17.0
256.0,1085557.1538508607,17.0
256.0,1085561.0386324353,17.0
251.0,1085568.7911224917,16.0
256.0,1103750.0062544486,19.0
256.0,1113099.6058692485,19.0
256.0,1117327.3679838018,19.0
256.0,1119416.21486679,19.0
256.0,1120446.9966430287,19.0
256.0,1121724.4598211427,20.0
249.0,1126723.2334031428,19.0
256.0,1126723.5934834185,21.0
249.0,1126922.7639774636,20.0
256.0,1142182.3708029876,22.0
253.0,1142207.237884,21.0
256.0,1142239.8749829875,21.0
256.0,1142267.307260867,21.0
207.0,1142302.9851495842,20.0
256.0,1143850.292751,21.0
253.0,1144065.8668840001,20.0
225.0,1144078.302736952,19.0
256.0,1175104.128423,20.0
256.0,1175304.4436294,20.0
256.0,1175391.300391583,20.0
247.0,1175494.7263257152,19.0
256.0,1176044.656586,20.0
256.0,1211252.8838538928,20.0
256.0,1211369.6085686928,20.0
256.0,1211423.5657354377,20.0
234.0,1211497.4033403706,19.0
256.0,1221905.775496061,19.0
253.0,1227860.281701,18.0
256.0,1227861.7121421415,21.0
256.0,1227944.4294805415,21.0
250.0,1228039.8638311436,20.0
243.0,1228063.9749774828,19.0
256.0,1229126.9019,20.0
256.0,1229919.9302052,20.0
247.0,1229224.550117915,19.0
256.0,1231654.0809219999,20.0
256.0,1232963.251431685,20.0
253.0,1231882.714497,19.0
256.0,1233224.1301280002,20.0
253.0,1239608.1720208281,19.0
251.0,1240487.00252,18.0
256.0,1253204.0183719252,21.0
256.0,1253205.9042757754,21.0
256.0,1253207.0945975415,21.0
256.0,1253208.1365551082,21.0
240.0,1253210.5694458422,20.0
225.0,1253284.9345014486,19.0
256.0,1254864.310802,20.0
256.0,1256900.6017176001,20.0
256.0,1257801.1926204574,20.0
256.0,1258206.3977749075,20.0
245.0,1258705.7892202407,19.0
256.0,1280238.3157629615,21.0
256.0,1284901.9641397789,21.0
256.0,1280656.0187954172,21.0
256.0,1281023.0362531682,21.0
252.0,1281089.2767701165,20.0
256.0,1285019.264731,21.0
256.0,1287983.972822861,21.0
256.0,1301937.845227928,21.0
254.0,1301985.046856928,20.0
256.0,1318320.2660006327,20.0
247.0,1330280.9606139252,19.0
256.0,1330281.5071312417,21.0
256.0,1332953.3640962418,21.0
234.0,1333274.2980035334,20.0
256.0,1340003.611469,21.0
237.0,1342473.9376955116,20.0
256.0,1343693.2181363387,22.0
251.0,1345715.355465,21.0
231.0,1345825.712315,20.0
256.0,1353489.2878780002,21.0
256.0,1353602.5176448002,21.0
256.0,1353656.1201000188,21.0
225.0,1353728.9832177048,20.0
187.0,1354070.3924279867,19.0
182.0,1357526.5932285914,18.0
256.0,1365504.390139,19.0
228.0,1387509.5685456058,18.0
256.0,1387510.364120137,21.0
246.0,1387547.9493058238,20.0
221.0,1387586.712275137,19.0
196.0,1389156.454271102,18.0
184.0,1393789.94344698,17.0
256.0,1396316.622383,18.0
256.0,1409437.0765210122,18.0
256.0,1399079.3481986,18.0
256.0,1400344.417903812,18.0
225.0,1401882.27592959,17.0
256.0,1412127.776883,18.0
256.0,1471942.050308769,18.0
256.0,1474116.2234171245,18.0
256.0,1493306.143279193,18.0
256.0,1515093.697647423,18.0
256.0,1547026.9712331004,18.0
228.0,1552456.6836552434,17.0
256.0,1552483.1790555136,30.0
256.0,1552925.6816453002,30.0
253.0,1552477.6924672434,29.0
251.0,1552502.6146797943,28.0
251.0,1552517.0916854471,27.0
235.0,1552545.615478571,26.0
256.0,1552547.083541357,28.0
238.0,1552579.270635571,27.0
256.0,1552602.142705357,27.0
256.0,1552810.1886794055,27.0
241.0,1552818.558804626,26.0
234.0,1553101.8764190797,25.0
248.0,1555143.1604355136,24.0
207.0,1555370.3966750242,23.0
206.0,1558076.0167803948,22.0
184.0,1560842.40768677,21.0
178.0,1570514.5208901097,20.0
256.0,1576439.822184,21.0
237.0,1577056.238678,20.0
256.0,1578630.393442721,22.0
224.0,1579394.7473537212,21.0
256.0,1581266.6308600002,22.0
256.0,1586537.274481411,22.0
256.0,1581562.83006772,22.0
256.0,1581690.33291629,22.0
256.0,1581748.4649286843,22.0
