id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time,Exe_time
2.0,773.1344875,773.1344875,844.0980425,0.0,0.0,0.0,70.96355500000004,70.96355500000004
5.0,4086.6433854999996,4086.6433854999996,4112.550380078019,2.0,0.0,0.0,25.906994578019294,25.906994578019294
6.0,5048.676575500001,5048.676575500001,5055.8523075,0.0,0.0,0.0,7.175731999999698,7.175731999999698
1.0,0.0,0.0,8497.339534,0.0,0.0,0.0,8497.339534,8497.339534
3.0,1265.885217,1265.885217,9787.13137356687,1.0,0.0,0.0,8521.246156566871,8521.246156566871
7.0,12245.4167375,12245.4167375,12577.237562369653,2.0,0.0,0.0,331.82082486965373,331.82082486965373
8.0,16054.345985499998,16054.345985499998,16064.270136499998,0.0,0.0,0.0,9.924150999999256,9.924150999999256
9.0,20929.1988055,20929.1988055,22506.734614458313,2.0,0.0,0.0,1577.5358089583133,1577.5358089583133
10.0,23983.690366,23983.690366,24743.448994,0.0,0.0,0.0,759.7586279999996,759.7586279999996
13.0,40942.5385625,40942.5385625,42481.99102802069,1.0,0.0,0.0,1539.4524655206915,1539.4524655206915
14.0,42469.9904195,42469.9904195,42504.7812555,0.0,0.0,0.0,34.79083600000013,34.79083600000013
16.0,47919.2373025,47919.2373025,47928.904797091265,2.0,2.0,0.0,9.667494591267314,9.667494591267314
4.0,2278.600139,2278.600139,63093.01951571565,2.0,1.0,0.0,60814.41937671565,60814.41937671565
12.0,32382.9525075,32382.9525075,64610.3986095,0.0,0.0,0.0,32227.446102,32227.446102
18.0,64607.713421500004,64607.713421500004,65188.472213500005,0.0,0.0,0.0,580.7587920000005,580.7587920000005
19.0,74407.543608,74407.543608,75599.326159,0.0,0.0,0.0,1191.7825509999966,1191.7825509999966
20.0,75953.6152535,75953.6152535,75969.4056265,0.0,0.0,0.0,15.79037299999618,15.79037299999618
22.0,90506.171845,90506.171845,90603.79864400001,0.0,0.0,0.0,97.62679900000512,97.62679900000512
23.0,93047.5262725,93047.5262725,93087.7201625,0.0,0.0,0.0,40.19388999999501,40.19388999999501
25.0,110581.444172,110581.444172,111434.91510268256,1.0,1.0,0.0,853.4709306825534,853.4709306825534
24.0,109493.6877595,109493.6877595,116653.2464085,0.0,0.0,0.0,7159.558648999999,7159.558648999999
17.0,50175.9785245,50175.9785245,123749.7616875,0.0,0.0,0.0,73573.78316299999,73573.78316299999
26.0,115152.66226099999,123749.7616875,132019.08438916568,2.0,1.0,8597.099426500004,16866.422128165694,8269.32270166569
28.0,124908.00502899999,124908.00502899999,139167.831749,0.0,0.0,0.0,14259.826720000012,14259.826720000012
29.0,139399.7725925,139399.7725925,139693.8826425,0.0,0.0,0.0,294.1100499999884,294.1100499999884
15.0,47758.83096,47758.83096,150525.31595288625,1.0,0.0,0.0,102766.48499288625,102766.48499288625
30.0,147927.9270695,147927.9270695,154080.12320550001,0.0,0.0,0.0,6152.196136000013,6152.196136000013
11.0,30917.663988,30917.663988,154898.93666200002,0.0,0.0,0.0,123981.27267400002,123981.27267400002
31.0,155530.056557,155530.056557,155559.37905304812,2.0,0.0,0.0,29.32249604811659,29.32249604811659
33.0,174095.16488250002,174095.16488250002,175075.30493793107,2.0,1.0,0.0,980.140055431053,980.140055431053
37.0,196446.12998199998,196446.12998199998,197106.70661199998,0.0,0.0,0.0,660.5766299999959,660.5766299999959
39.0,211947.956526,211947.956526,213298.99958844483,1.0,1.0,0.0,1351.0430624448345,1351.0430624448345
41.0,217601.37545100003,217601.37545100003,222022.77930300002,0.0,0.0,0.0,4421.403851999989,4421.403851999989
42.0,218323.95509099998,222022.77930300002,222101.53808575045,4.0,0.0,3698.824212000036,3777.582994750468,78.75878275043215
27.0,118780.12251949999,132019.08438916568,294350.6135971657,0.0,0.0,13238.961869665698,175570.4910776657,162331.529208
21.0,89182.623619,89182.623619,300837.71855138865,3.0,4.0,0.0,211655.09493238863,211655.09493238863
46.0,234162.530106,300837.71855138865,300843.7102773886,0.0,0.0,66675.18844538866,66681.18017138864,5.991725999978371
47.0,248393.775737,300843.7102773886,302124.3063633886,0.0,0.0,52449.93454038864,53730.530626388616,1280.596085999976
51.0,253131.10735749998,302124.3063633886,302221.7853743886,0.0,0.0,48993.19900588863,49090.67801688865,97.47901100001764
36.0,194516.820122,294350.6135971657,303140.66246416565,0.0,0.0,99833.79347516567,108623.84234216565,8790.048866999976
48.0,248514.8412315,300844.1818373044,303174.52599630435,0.0,0.0,52329.34060580438,54659.68476480435,2330.344158999971
56.0,273394.463327,303174.52599630435,303811.93386530434,0.0,0.0,29780.062669304374,30417.470538304362,637.4078689999878
60.0,291343.00957,303811.93386530434,303842.9147593043,0.0,0.0,12468.924295304343,12499.905189304322,30.980893999978434
53.0,265132.7062585,302221.7853743886,324902.98568138864,0.0,0.0,37089.07911588863,59770.27942288865,22681.20030700002
67.0,331759.9694745,331759.9694745,332090.44091949996,0.0,0.0,0.0,330.47144499997376,330.47144499997376
69.0,344271.986706,344271.986706,344429.291471,0.0,0.0,0.0,157.30476500000805,157.30476500000805
44.0,224242.740902,294350.6135971657,383055.0705831657,0.0,0.0,70107.87269516569,158812.3296811657,88704.456986
50.0,251727.7489875,383055.0705831657,383063.35803816566,0.0,0.0,131327.32159566568,131335.60905066566,8.28745499998331
59.0,287610.7862655,383063.35803816566,385990.24418916565,0.0,0.0,95452.57177266566,98379.45792366564,2926.8861509999842
70.0,347186.933175,385990.24418916565,385994.8923321657,0.0,0.0,38803.311014165636,38807.959157165664,4.6481430000276305
71.0,353800.8622775,385994.8923321657,386014.89081716567,0.0,0.0,32194.030054665694,32214.028539665684,19.99848499998916
76.0,380748.3235935,386014.89081716567,430417.15526516567,0.0,0.0,5266.567223665654,49668.831671665655,44402.264448
88.0,451282.254192,451282.254192,451782.34254000004,0.0,0.0,0.0,500.0883480000193,500.0883480000193
89.0,462599.2037765,462599.2037765,495177.26204450004,0.0,0.0,0.0,32578.058268000023,32578.058268000023
32.0,172211.04449549998,172211.04449549998,586578.1231485,0.0,0.0,0.0,414367.078653,414367.078653
54.0,265433.6720935,586578.1231485,586937.4519851911,0.0,0.0,321144.451055,321503.7798916911,359.32883669110015
98.0,482541.92607449996,586937.4519851911,615776.9757766539,0.0,0.0,104395.52591069113,133235.0497021539,28839.523791462765
106.0,513739.265633,615777.5844115374,615782.0610335374,0.0,0.0,102038.31877853739,102042.79540053738,4.476621999987401
107.0,520060.8698325,615782.0610335374,615797.1766725373,0.0,0.0,95721.19120103738,95736.30684003734,15.115638999966905
101.0,493953.7092625,615776.9757766539,615855.5048246538,0.0,0.0,121823.26651415386,121901.79556215386,78.52904799999669
108.0,520114.2706875,615797.1766725373,618421.0682045374,0.0,0.0,95682.90598503733,98306.79751703737,2623.891532000038
115.0,542764.6097795,618421.0682045374,618469.4150425374,0.0,0.0,75656.45842503733,75704.80526303733,48.34683799999766
109.0,526851.2917135,615855.5048246538,619749.561380978,1.0,0.0,89004.2131111538,92898.26966747793,3894.0565563241253
62.0,304792.6806865,304792.6806865,662976.7827805,0.0,0.0,0.0,358184.10209400003,358184.10209400003
131.0,611614.1523435,662976.7827805,675732.0614455,0.0,0.0,51362.630436999956,64117.90910199995,12755.27866499999
135.0,616612.0650640001,675732.0614455,682994.9338375,0.0,0.0,59119.99638149992,66382.86877349997,7262.872392000048
141.0,640118.7750024999,682994.9338375,684014.4874795,0.0,0.0,42876.158835000126,43895.71247700008,1019.5536419999553
143.0,647863.1868085,684014.4874795,684061.6891085,0.0,0.0,36151.30067100003,36198.50230000005,47.20162900001742
160.0,718650.455691,718650.455691,718681.8268640317,0.0,0.0,0.0,31.371173031744547,31.371173031744547
118.0,551874.0203675,618469.4150425374,803997.7412584852,0.0,0.0,66595.39467503736,252123.72089098522,185528.32621594786
166.0,732742.6423365,803997.7412584852,804072.7197614822,0.0,0.0,71255.09892198525,71330.07742498221,74.97850299696438
171.0,765213.3803895001,804072.7197614822,809670.5225034822,0.0,0.0,38859.33937198215,44457.14211398212,5597.802741999971
172.0,775465.6209555,809670.5225034822,812330.5038834822,0.0,0.0,34204.901547982125,36864.88292798214,2659.981380000012
185.0,845954.177826,845954.177826,846069.7695180001,0.0,0.0,0.0,115.59169200004544,115.59169200004544
34.0,178357.732144,222101.53808575045,1169410.0064854373,3.0,3.0,43743.80594175044,991052.2743414373,947308.4683996869
52.0,258933.785495,1169410.0064854373,1213499.0161434372,0.0,0.0,910476.2209904373,954565.2306484373,44089.009657999966
163.0,726195.262372,726195.262372,1221798.076723,0.0,0.0,0.0,495602.814351,495602.814351
63.0,307911.022464,586937.4519851911,1240969.8073726916,1.0,1.0,279026.4295211911,933058.7849086917,654032.3553875005
55.0,265794.791062,1213499.0161434372,1260431.4861594373,0.0,0.0,947704.2250814373,994636.6950974374,46932.470016000094
57.0,275804.49070900003,1260431.4861594373,1260486.0397154375,0.0,0.0,984626.9954504373,984681.5490064374,54.55355600011535
65.0,324848.388233,1260486.0397154375,1260534.722941061,1.0,0.0,935637.6514824375,935686.3347080611,48.683225623564795
111.0,533208.4518235,619749.561380978,1277247.240123952,2.0,0.0,86541.10955747799,744038.788300452,657497.6787429741
84.0,428342.64741100004,1260534.722941061,1300371.2618350692,1.0,1.0,832192.075530061,872028.6144240692,39836.53889400815
124.0,571090.5531155,1300371.2618350692,1300397.393488069,0.0,0.0,729280.7087195691,729306.840372569,26.131652999902144
125.0,571925.1463755,1300397.393488069,1300612.9676210692,0.0,0.0,728472.247112569,728687.8212455692,215.57413300010376
86.0,444425.66486,1277247.240123952,1321969.494856952,0.0,0.0,832821.575263952,877543.829996952,44722.25473299995
92.0,467228.56564549997,1321969.494856952,1322156.573079728,0.0,0.0,854740.929211452,854928.0074342281,187.07822277606465
132.0,611747.018095,1322156.573079728,1322363.366425728,0.0,0.0,710409.5549847281,710616.348330728,206.79334599990398
134.0,615827.0404609999,1322363.366425728,1322592.000000728,0.0,0.0,706536.325964728,706764.9595397281,228.6335750001017
139.0,627432.155401,1322592.000000728,1331043.7020245288,0.0,0.0,695159.844599728,703611.5466235287,8451.702023800695
149.0,671846.1190465001,1331043.7020245288,1334404.4038932328,0.0,0.0,659197.5829780287,662558.2848467327,3360.7018687040545
164.0,728013.467971,1334404.4038932328,1334439.6514128395,1.0,0.0,606390.9359222328,606426.1834418395,35.24751960672438
