cores,time,running_job_len
2.0,0.0,1.0
4.0,773.1344875,2.0
2.0,844.0980425,1.0
5.0,1265.885217,2.0
12.0,2278.600139,3.0
21.0,4086.6433854999996,4.0
12.0,4117.6607845,3.0
18.0,5048.676575500001,4.0
12.0,5055.8523075,3.0
10.0,8497.339534,2.0
17.0,12245.4167375,3.0
10.0,12677.1436005,2.0
22.0,16054.345985499998,3.0
10.0,16064.270136499998,2.0
7.0,19274.985352,1.0
9.0,20929.1988055,2.0
7.0,23045.0514915,1.0
13.0,23983.690366,2.0
7.0,24743.448994,1.0
9.0,30917.663988,2.0
12.0,32382.9525075,3.0
15.0,40942.5385625,4.0
30.0,42469.9904195,5.0
27.0,42496.6073615,4.0
12.0,42504.7812555,3.0
15.0,47758.83096,4.0
31.0,47919.2373025,5.0
15.0,47927.608598499995,4.0
39.0,50175.9785245,5.0
42.0,64607.713421500004,6.0
39.0,64610.3986095,5.0
36.0,65188.472213500005,4.0
38.0,74407.543608,5.0
36.0,75599.326159,4.0
40.0,75953.6152535,5.0
36.0,75969.4056265,4.0
40.0,89182.623619,5.0
45.0,90506.171845,6.0
40.0,90603.79864400001,5.0
45.0,93047.5262725,6.0
40.0,93087.7201625,5.0
43.0,109493.6877595,6.0
46.0,110581.444172,7.0
43.0,111488.95212,6.0
40.0,116653.2464085,5.0
41.0,123749.7616875,5.0
45.0,124908.00502899999,6.0
38.0,125483.828337,5.0
37.0,133017.2362145,5.0
33.0,139167.831749,4.0
37.0,139399.7725925,5.0
33.0,139693.8826425,4.0
37.0,147927.9270695,5.0
33.0,154080.12320550001,4.0
31.0,154898.93666200002,3.0
34.0,155530.056557,4.0
31.0,155566.191801,3.0
40.0,172211.04449549998,4.0
44.0,174095.16488250002,5.0
40.0,175242.5543025,4.0
42.0,196446.12998199998,5.0
40.0,197106.70661199998,4.0
44.0,211947.956526,5.0
40.0,213415.024531,4.0
47.0,217601.37545100003,5.0
46.0,222022.77930300002,5.0
40.0,222124.35234600003,4.0
43.0,224242.740902,5.0
46.0,234162.530106,6.0
43.0,234168.521832,5.0
45.0,248393.775737,6.0
47.0,248514.8412315,7.0
45.0,249674.371823,6.0
43.0,250845.1853905,5.0
46.0,251727.7489875,6.0
43.0,251736.03644250002,5.0
45.0,253131.10735749998,6.0
43.0,253228.58636849996,5.0
45.0,265132.7062585,6.0
47.0,273394.463327,7.0
45.0,274031.87119599996,6.0
50.0,279352.31351500005,6.0
48.0,287813.9065655,5.0
50.0,291343.00957,6.0
48.0,291373.990464,5.0
49.0,295348.7654225,6.0
46.0,298275.65157349996,5.0
48.0,304792.6806865,6.0
45.0,312947.197888,5.0
50.0,324848.388233,6.0
45.0,324907.248495,5.0
47.0,331759.9694745,6.0
45.0,332090.44091949996,5.0
47.0,344271.986706,6.0
45.0,344429.291471,5.0
48.0,347186.933175,6.0
45.0,347191.58131800004,5.0
48.0,353800.8622775,6.0
45.0,353820.8607625,5.0
47.0,355512.611561,6.0
50.0,380748.3235935,7.0
47.0,425150.5880415,6.0
49.0,427208.469515,6.0
49.0,586578.1231485,6.0
50.0,662976.7827805,6.0
50.0,663476.8711285,6.0
50.0,696054.9293965,6.0
50.0,883514.0488100001,6.0
50.0,901945.9512855,7.0
50.0,902024.4803335,7.0
50.0,902039.5959724999,7.0
50.0,904663.4875045,7.0
50.0,909496.1712105,7.0
50.0,909544.5180485,7.0
50.0,910736.0001525,9.0
50.0,917998.8725445,9.0
50.0,919018.4261865,9.0
50.0,919065.6278155,9.0
50.0,922299.7967134999,9.0
50.0,927897.5994554999,9.0
50.0,930557.5808354999,9.0
48.0,930673.1725275,8.0
50.0,953090.9339965,9.0
50.0,971339.856138,9.0
49.0,971465.018734,9.0
48.0,997813.1887294999,9.0
50.0,1017128.0240864999,9.0
48.0,1017134.6179645,9.0
50.0,1017139.0945865,9.0
48.0,1020074.2525095,9.0
50.0,1203578.7394975,10.0
50.0,1203604.8711505,10.0
50.0,1203820.4452835,10.0
50.0,1204049.0788585,10.0
50.0,1204070.0876705002,10.0
50.0,1204111.4478405002,10.0
50.0,1204161.6496945003,10.0
50.0,1204202.7457545002,10.0
50.0,1204300.1863195002,10.0
50.0,1206177.1035095002,10.0
47.0,1327690.9804635001,9.0
49.0,1364767.6890605001,9.0
49.0,1365268.4770765002,9.0
50.0,1410400.600998,9.0
48.0,1414668.4421665,8.0
50.0,1499956.6611245002,8.0
50.0,1512836.812329,8.0
49.0,1517059.2814600002,8.0
50.0,1838362.3537955,8.0
50.0,1838569.1471415,8.0
50.0,2184528.3019195003,8.0
50.0,2189527.0755015,8.0
50.0,2189730.3088685,8.0
48.0,2189735.9334715,8.0
48.0,2194826.6607605,8.0
48.0,2196849.7781325,8.0
47.0,2197693.7975925,8.0
49.0,2344858.5433480004,8.0
50.0,2385459.6575675,8.0
49.0,2385682.0208425,8.0
50.0,2432614.4908585,8.0
50.0,2432659.5930304998,8.0
49.0,2525071.639455,8.0
49.0,2574290.55496,8.0
50.0,2627770.9901790004,8.0
50.0,2627776.7470650002,8.0
50.0,2627904.29166,8.0
48.0,2628125.808766,8.0
49.0,2686076.5865735,8.0
49.0,2686261.3928245003,8.0
49.0,2687473.9069795003,8.0
50.0,2687842.4455155004,8.0
50.0,2705202.7510079998,8.0
49.0,2717341.1057149996,8.0
47.0,2729767.3601519996,8.0
49.0,2788392.936465,8.0
50.0,2788447.995629,9.0
45.0,2788453.352239,8.0
41.0,2916089.5811805,7.0
50.0,2982696.13788,7.0
49.0,2985014.312302,7.0
39.0,2996005.391577,6.0
48.0,3010149.8809785,6.0
44.0,3010807.4251285,6.0
44.0,3054896.4347865,6.0
47.0,3054950.9883425,6.0
43.0,3417061.0974315004,5.0
