S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
1249933,2,209,600,1001,2,750,540,125400
1250028,2,92914,200,1002,2,250,180,18582800
1250120,0,90778,200,1003,2,250,180,18155600
1250171,4,134,600,1004,2,750,540,80400
1250435,9,86400,600,1005,2,750,540,51840000
1251427,0,239,600,1006,2,750,540,143400
1251676,1,228,600,1007,2,750,540,136800
1252013,0,282,600,1008,2,750,540,169200
1252739,1,221,600,1009,2,750,540,132600
1253324,0,222,600,1010,2,750,540,133200
1254067,0,216,600,1011,2,750,540,129600
1254300,0,583,600,1012,2,750,540,349800
1254848,0,328,600,1013,2,750,540,196800
1255237,2,281,600,1014,2,750,540,168600
1255499,10,31980,600,1015,2,750,540,19188000
1258266,9,83,32,1016,2,40,29,2656
1258471,1,42716,100,1017,2,125,90,4271600
1258626,3,87,32,1018,2,40,29,2784
1259252,0,93,32,1019,2,40,29,2976
1259446,0,24387,200,1020,2,250,180,4877400
1260892,0,87,32,1021,2,40,29,2784
1262655,1,84,32,1022,2,40,29,2688
1262788,0,84,32,1023,2,40,29,2688
1263062,0,116,32,1024,2,40,29,3712
1263757,0,900,32,1025,2,40,29,28800
1265971,0,24315,200,1026,2,250,180,4863000
1266055,1,180,64,1027,2,80,58,11520
1266365,6,2100,64,1028,2,80,58,134400
1278324,0,44422,100,1029,2,125,90,4442200
1278324,11,44786,100,1030,2,125,90,4478600
1278325,10,44608,100,1031,2,125,90,4460800
1278325,10,45447,100,1032,2,125,90,4544700
1278325,10,45509,100,1033,2,125,90,4550900
1278325,10,45658,100,1034,2,125,90,4565800
1278326,9,45898,100,1035,2,125,90,4589800
1278326,9,46168,100,1036,2,125,90,4616800
1278326,9,46354,100,1037,2,125,90,4635400
1278326,9,46365,100,1038,2,125,90,4636500
1278327,8,46389,100,1039,2,125,90,4638900
1278327,8,46598,100,1040,2,125,90,4659800
1278327,8,47720,100,1041,2,125,90,4772000
1278327,8,50329,100,1042,2,125,90,5032900
1278328,7,106,100,1043,2,125,90,10600
1278328,7,170,100,1044,2,125,90,17000
1278328,7,359,100,1045,2,125,90,35900
1278329,6,50413,100,1046,2,125,90,5041300
1278329,6,50912,100,1047,2,125,90,5091200
1278329,6,51616,100,1048,2,125,90,5161600
1278329,6,52185,100,1049,2,125,90,5218500
1278329,6,52931,100,1050,2,125,90,5293100
1278329,6,53677,100,1051,2,125,90,5367700
1278330,5,47636,100,1052,2,125,90,4763600
1278330,5,47698,100,1053,2,125,90,4769800
1278330,5,48023,100,1054,2,125,90,4802300
1278330,5,49172,100,1055,2,125,90,4917200
1278330,5,54050,100,1056,2,125,90,5405000
1278331,4,193,100,1057,2,125,90,19300
1278331,4,50112,100,1058,2,125,90,5011200
1278331,4,50529,100,1059,2,125,90,5052900
1278331,4,51016,100,1060,2,125,90,5101600
1278331,4,51505,100,1061,2,125,90,5150500
1278331,4,52355,100,1062,2,125,90,5235500
1278332,3,182,100,1063,2,125,90,18200
1278332,3,193,100,1064,2,125,90,19300
1278332,3,1054,100,1065,2,125,90,105400
1278332,3,42597,100,1066,2,125,90,4259700
1278332,3,42701,100,1067,2,125,90,4270100
1278333,2,42628,100,1068,2,125,90,4262800
1278333,108,43061,100,1069,2,125,90,4306100
1278333,172,43140,100,1070,2,125,90,4314000
1278333,184,43605,100,1071,2,125,90,4360500
1278333,195,43698,100,1072,2,125,90,4369800
1278334,194,43813,100,1073,2,125,90,4381300
1278334,360,43968,100,1074,2,125,90,4396800
1278334,1013,43818,100,1075,2,125,90,4381800
1278334,1043,43898,100,1076,2,125,90,4389800
1279241,148,105,100,1077,2,125,90,10500
1279268,226,44874,100,1078,2,125,90,4487400
1279304,4529,52803,100,1079,2,125,90,5280300
1313115,8,64176,1024,1080,2,1280,922,65716224
1315886,2,3370,200,1081,2,250,180,674000
1315914,0,3333,200,1082,2,250,180,666600
1315982,6,54245,1000,1083,2,1250,900,54245000
1316037,4,52354,1000,1084,2,1250,900,52354000
1319243,4,18996,200,1085,2,250,180,3799200
1319247,11,18876,200,1086,2,250,180,3775200
1319503,0,60235,2000,1087,2,2500,1800,120470000
1329524,5,2337,600,1088,2,750,540,1402200
1332287,4,50255,2000,1089,2,2500,1800,100510000
1332446,1,2183,600,1090,2,750,540,1309800
1335064,0,5577,600,1091,2,750,540,3346200
1339534,0,900,64,1092,2,80,58,57600
1340875,0,602,600,1093,2,750,540,361200
