S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
15340149,8,237,320,10001,1,320,320,75840
15340547,2,222,320,10002,1,320,320,71040
15341035,0,488,240,10003,1,240,240,117120
15341724,0,5463,240,10004,1,240,240,1311120
15342163,1,100094,240,10005,1,240,240,24022560
15342274,5,102965,240,10006,1,240,240,24711600
15342295,6,101097,240,10007,1,240,240,24263280
15342341,2,100205,240,10008,1,240,240,24049200
15342523,6,18943,256,10009,1,256,256,4849408
15342571,11,808,240,10010,1,240,240,193920
15343404,0,3292,240,10011,1,240,240,790080
15343583,1458,20707,120,10012,1,120,120,2484840
15344234,3,128852,100,10013,1,100,100,12885200
15344473,568,20760,120,10014,1,120,120,2491200
15344541,0,158,80,10015,1,80,80,12640
15345138,0,147,80,10016,1,80,80,11760
15345553,0,154709,800,10017,1,800,800,123767200
15345789,4,146,80,10018,1,80,80,11680
15346646,8,146,240,10019,2,300,216,35040
15346758,11,30237,240,10020,1,240,240,7256880
15346981,7,188,80,10021,1,80,80,15040
15347151,3,27512,240,10022,1,240,240,6602880
15347412,3,155,80,10023,1,80,80,12400
15347750,6,158,80,10024,1,80,80,12640
15347933,0,21118,120,10025,1,120,120,2534160
15347964,1,92297,300,10026,1,300,300,27689100
15348061,0,136,80,10027,1,80,80,10880
15348404,1,21115,120,10028,1,120,120,2533800
15348988,1,26625,120,10029,1,120,120,3195000
15349258,1,104,80,10030,1,80,80,8320
15349677,1,146,80,10031,1,80,80,11680
15349967,0,147,80,10032,1,80,80,11760
15350201,6,146,80,10033,1,80,80,11680
15350516,3,62,80,10034,1,80,80,4960
15350549,0,229,80,10035,1,80,80,18320
15356030,0,30293,120,10036,1,120,120,3635160
15358258,9,30052,120,10037,2,150,108,3606240
15362081,2,172800,500,10038,1,500,500,86400000
15365705,1,20471,120,10039,1,120,120,2456520
15365759,11,20438,120,10040,1,120,120,2452560
15368300,9,23916,120,10041,1,120,120,2869920
15368325,0,23900,120,10042,1,120,120,2868000
15369005,4,20787,120,10043,1,120,120,2494440
15369286,4,47925,320,10044,1,320,320,15336000
15369476,2,20850,120,10045,1,120,120,2502000
15371221,2,26470,120,10046,1,120,120,3176400
15371693,4,26582,120,10047,1,120,120,3189840
15371703,5,26614,120,10048,1,120,120,3193680
15374630,1,2402,240,10049,1,240,240,576480
15375535,6,7827,120,10050,2,150,108,939240
15376809,197,18542,256,10051,1,256,256,4746752
15376962,0,3132,240,10052,1,240,240,751680
15376994,0,3073,240,10053,2,300,216,737520
15380024,0,129722,240,10054,2,300,216,31133280
15380055,0,129952,240,10055,1,240,240,31188480
15383325,1,7808,120,10056,1,120,120,936960
15386106,6,20428,120,10057,1,120,120,2451360
15386135,0,20372,120,10058,1,120,120,2444640
15386279,2,30168,120,10059,1,120,120,3620160
15388272,5,29690,120,10060,1,120,120,3562800
15389749,5,20703,120,10061,1,120,120,2484360
15390255,0,20696,120,10062,1,120,120,2483520
15391061,6,7854,120,10063,1,120,120,942480
15392144,5,24050,120,10064,1,120,120,2886000
15392182,1,24016,120,10065,1,120,120,2881920
15397650,1,26469,120,10066,2,150,108,3176280
15398214,0,26995,120,10067,1,120,120,3239400
15398279,0,27298,120,10068,1,120,120,3275760
15398878,0,26752,120,10069,1,120,120,3210240
15406454,0,20325,120,10070,1,120,120,2439000
15406465,1,20282,120,10071,1,120,120,2433840
15410384,0,20681,120,10072,1,120,120,2481720
15410904,5,20616,120,10073,1,120,120,2473920
15416115,2,22257,120,10074,1,120,120,2670840
15416124,4,22246,120,10075,1,120,120,2669520
15416404,3,29955,120,10076,1,120,120,3594600
15417883,2,86498,200,10077,2,250,180,17299600
15417890,6,29217,120,10078,1,120,120,3506040
15421351,6,7417,100,10079,1,100,100,741700
15423344,10,3600,10200,10080,1,10200,10200,36720000
15423370,7257,3600,10200,10081,1,10200,10200,36720000
15424041,6,26268,120,10082,1,120,120,3152160
15425166,0,27132,120,10083,1,120,120,3255840
15425503,0,27130,120,10084,1,120,120,3255600
15425584,4,26438,120,10085,1,120,120,3172560
15426695,0,20586,120,10086,1,120,120,2470320
15426704,3,20616,120,10087,1,120,120,2473920
15429798,0,7455,100,10088,1,100,100,745500
15430984,8,20965,120,10089,1,120,120,2515800
15431482,0,20973,120,10090,2,150,108,2516760
15437631,5,62139,320,10091,1,320,320,19884480
15438281,0,22143,120,10092,1,120,120,2657160
15438301,3,22078,120,10093,2,150,108,2649360
15440220,0,92358,300,10094,2,375,270,27707400
15443182,8,123161,160,10095,2,200,144,19705760
15446281,8,29865,120,10096,1,120,120,3583800
15447070,0,169,120,10097,1,120,120,20280
15447195,2,204,120,10098,1,120,120,24480
15447238,1,20525,120,10099,1,120,120,2463000
15447243,7,20483,120,10100,1,120,120,2457960
15447328,6,213,120,10101,2,150,108,25560
15447464,10,29801,120,10102,1,120,120,3576120
15450273,0,205,120,10103,1,120,120,24600
15450402,0,173,120,10104,1,120,120,20760
15450532,1,171,120,10105,1,120,120,20520
15450662,0,26311,120,10106,1,120,120,3157320
15451913,2,20898,120,10107,1,120,120,2507760
15451983,0,26288,120,10108,2,150,108,3154560
15452255,1,26699,120,10109,1,120,120,3203880
15452378,4,20833,120,10110,1,120,120,2499960
15452560,0,26572,120,10111,1,120,120,3188640
15460336,4,22092,120,10112,1,120,120,2651040
15460377,5,22092,120,10113,1,120,120,2651040
15467680,1,20631,120,10114,1,120,120,2475720
15467688,4,20651,120,10115,1,120,120,2478120
15472768,3,21599,120,10116,1,120,120,2591880
15473173,0,21001,120,10117,1,120,120,2520120
15476110,2,14269,120,10118,1,120,120,1712280
15476893,7,198,120,10119,1,120,120,23760
15477024,0,26328,120,10120,1,120,120,3159360
15477231,2,172,120,10121,1,120,120,20640
15477363,0,177,120,10122,1,120,120,21240
15477494,4,172,120,10123,1,120,120,20640
15477627,0,29833,120,10124,1,120,120,3579960
15478228,1,26421,120,10125,1,120,120,3170520
15478874,8,26477,120,10126,1,120,120,3177240
15479048,11,26495,120,10127,1,120,120,3179400
15482389,1,23273,120,10128,1,120,120,2792760
15482429,3,23315,120,10129,1,120,120,2797800
15488259,0,20492,120,10130,1,120,120,2459040
15488268,3,20449,120,10131,2,150,108,2453880
15490301,7,29117,120,10132,1,120,120,3494040
15494132,0,20859,120,10133,1,120,120,2503080
15494327,1,20840,120,10134,1,120,120,2500800
15496589,0,1835,300,10135,2,375,270,550500
15498343,5,81991,300,10136,2,375,270,24597300
15498422,2,150570,300,10137,1,300,300,45171000
15498884,0,3151,300,10138,2,375,270,945300
15500762,7,97710,100,10139,1,100,100,9771000
15501049,1,985,300,10140,2,375,270,295500
15501278,11,104221,800,10141,2,1000,720,83376800
15501985,8,82535,300,10142,2,375,270,24760500
15502033,2,22367,300,10143,2,375,270,6710100
15502700,9,19313,300,10144,1,300,300,5793900
15502958,10,81146,300,10145,1,300,300,24343800
15503143,1,268,100,10146,1,100,100,26800
15503308,2,202,120,10147,1,120,120,24240
15503439,5,26400,120,10148,1,120,120,3168000
15503450,5,212,100,10149,1,100,100,21200
15503635,1,7202,100,10150,1,100,100,720200
15504339,2,86409,200,10151,1,200,200,17281800
15504607,0,26251,120,10152,1,120,120,3150120
15505316,0,26804,120,10153,2,150,108,3216480
15505511,0,26749,120,10154,1,120,120,3209880
15505620,0,23365,120,10155,1,120,120,2803800
15505701,4,23333,120,10156,1,120,120,2799960
15506474,5,588,100,10157,1,100,100,58800
15506502,1,520,100,10158,1,100,100,52000
15506524,0,593,100,10159,1,100,100,59300
15506538,9,570,100,10160,1,100,100,57000
15507380,7,220,120,10161,2,150,108,26400
15507518,4,29278,120,10162,1,120,120,3513360
15507554,0,599,100,10163,1,100,100,59900
15507701,10,66686,320,10164,1,320,320,21339520
15508667,0,20566,120,10165,1,120,120,2467920
15508675,4,20554,120,10166,1,120,120,2466480
15509112,1,582,100,10167,1,100,100,58200
15509194,3,591,100,10168,1,100,100,59100
15509259,0,613,100,10169,1,100,100,61300
15510656,0,224,100,10170,1,100,100,22400
15511546,7,218,100,10171,1,100,100,21800
15514948,1,20988,120,10172,1,120,120,2518560
15515125,1,20914,120,10173,1,120,120,2509680
15515294,4,118,100,10174,1,100,100,11800
15515681,1,221,100,10175,1,100,100,22100
15515704,1,61,100,10176,1,100,100,6100
15516657,1,197,100,10177,1,100,100,19700
15517230,3,228,100,10178,1,100,100,22800
15517486,6,197,100,10179,1,100,100,19700
15519012,6,180,100,10180,2,125,90,18000
15519382,1,29861,120,10181,1,120,120,3583320
15528940,3,22916,120,10182,1,120,120,2749920
15528996,11,22883,120,10183,1,120,120,2745960
15529147,6,20657,120,10184,1,120,120,2478840
15529160,4,20604,120,10185,2,150,108,2472480
15529763,8,26745,120,10186,1,120,120,3209400
15530813,3,9421,120,10187,1,120,120,1130520
15531872,1,36675,20,10188,1,20,20,733500
15532055,0,26707,120,10189,2,150,108,3204840
15532086,1,136223,1296,10190,1,1296,1296,176545008
15532114,6,108,2000,10191,2,2500,1800,216000
15532149,2,129111,1296,10192,1,1296,1296,167327856
15532186,1,26742,120,10193,2,150,108,3209040
15532314,0,129447,1296,10194,2,1620,1166,167763312
15532390,9,129517,1296,10195,1,1296,1296,167854032
15532429,1,591,2000,10196,2,2500,1800,1182000
15532447,5,129080,1296,10197,1,1296,1296,167287680
15532497,8,92786,300,10198,2,375,270,27835800
15532627,0,19615,256,10199,2,320,230,5021440
15533042,0,134657,2000,10200,1,2000,2000,269314000
15535892,3,21107,120,10201,1,120,120,2532840
15535997,1,21035,120,10202,2,150,108,2524200
15536758,0,29148,120,10203,1,120,120,3497760
15540195,0,26626,120,10204,1,120,120,3195120
15549199,3,173,120,10205,1,120,120,20760
15549332,1,29897,120,10206,1,120,120,3587640
15549725,1,20627,120,10207,1,120,120,2475240
15549727,10,20647,120,10208,1,120,120,2477640
15551782,4,23065,120,10209,1,120,120,2767800
15551817,1,23064,120,10210,1,120,120,2767680
15556434,9,177,120,10211,1,120,120,21240
15556574,4,26528,120,10212,1,120,120,3183360
15556922,10,21020,120,10213,1,120,120,2522400
15556990,0,20962,120,10214,1,120,120,2515440
15558715,5,26534,120,10215,1,120,120,3184080
15558886,0,26699,120,10216,1,120,120,3203880
15565823,10,29789,120,10217,1,120,120,3574680
15566303,6,122950,160,10218,1,160,160,19672000
15566778,1,26521,120,10219,1,120,120,3182520
15570282,0,20437,120,10220,1,120,120,2452440
15570311,0,20439,120,10221,1,120,120,2452680
15574776,0,23358,120,10222,1,120,120,2802960
15574809,9,23369,120,10223,1,120,120,2804280
15577873,2,20836,120,10224,1,120,120,2500320
15577909,0,20833,120,10225,2,150,108,2499960
15579184,4,29519,120,10226,1,120,120,3542280
15583063,1,168,120,10227,1,120,120,20160
15583189,1,26460,120,10228,1,120,120,3175200
