S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
4241207,729,612,12,10002,2,15,10,7344
4241207,733,608,12,10003,1,12,12,7296
4241208,738,610,12,10004,2,15,10,7320
4241208,1,14073,48,10005,1,48,48,675504
4241236,1,219050,1,10006,1,1,1,219050
4241330,2,78091,1,10007,1,1,1,78091
4241443,2,10,1,10008,2,1,0,10
4241537,2,77887,1,10009,2,1,0,77887
4241616,1,256042,1,10010,1,1,1,256042
4241778,2,25929,2,10011,1,2,2,51858
4241842,1,2,2,10012,1,2,2,4
4241842,1,2,2,10013,2,2,1,4
4241889,1,354806,1,10014,2,1,0,354806
4241982,2,255675,1,10015,1,1,1,255675
4242030,1,833,2,10016,1,2,2,1666
4242030,1,616,2,10017,1,2,2,1232
4242995,2,605,2,10018,1,2,2,1210
4243121,1,17,2,10019,1,2,2,34
4243137,2,38,12,10020,1,12,12,456
4243206,1,376,2,10021,1,2,2,752
4243390,1,136,1,10022,1,1,1,136
4243553,2,6439,24,10023,1,24,24,154536
4243644,2,60491,12,10024,1,12,12,725892
4243757,2,1220,1,10025,1,1,1,1220
4244451,1,257,1,10026,2,1,0,257
4244710,1,6753,1,10027,1,1,1,6753
4244896,1,2150,1,10028,1,1,1,2150
4244975,1,4465,2,10029,2,2,1,8930
4245090,1,8217,12,10030,1,12,12,98604
4245146,1,14404,4,10031,1,4,4,57616
4246443,1,3604,1,10032,2,1,0,3604
4246997,1,6319,12,10033,2,15,10,75828
4248278,2,19158,8,10034,2,10,7,153264
4249582,1,378585,64,10035,1,64,64,24229440
4250202,1,21,12,10036,1,12,12,252
4250339,2,18,12,10037,1,12,12,216
4250605,2,102,12,10038,1,12,12,1224
4250783,1,45,12,10039,2,15,10,540
4250893,1,9202,1,10040,2,1,0,9202
4251070,1,2601,12,10041,2,15,10,31212
4251102,1,184875,18,10042,2,22,16,3327750
4251103,0,183906,18,10043,2,22,16,3310308
4251103,0,184783,18,10044,2,22,16,3326094
4251103,2,185766,18,10045,2,22,16,3343788
4251104,1,184368,18,10046,2,22,16,3318624
