S_time,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
3565775,3,46,32,10001,2,40,29,1472
3566023,3,46,32,10002,2,40,29,1472
3566371,5,50,32,10003,2,40,29,1600
3566603,4,45,32,10004,2,40,29,1440
3566852,3,8172,128,10005,2,160,116,1046016
3567043,3,3778,64,10006,2,80,58,241792
3567069,4,58,32,10007,2,40,29,1856
3567070,0,29,64,10008,2,80,58,1856
3567084,2,78,32,10009,2,40,29,2496
3567290,3,46,32,10010,2,40,29,1472
3567511,3,46,32,10011,2,40,29,1472
3567829,4,47,32,10012,2,40,29,1504
3567904,3,2917,32,10013,2,40,29,93344
3568491,6,79,32,10014,2,40,29,2528
3568502,25784,386,128,10015,2,160,116,49408
3568708,6,126,32,10016,2,40,29,4032
3568764,4,53,32,10017,2,40,29,1696
3568955,5,995,32,10018,2,40,29,31840
3568975,3,47,32,10019,2,40,29,1504
3569051,4,217,32,10020,2,40,29,6944
3569101,3,478,32,10021,2,40,29,15296
3569143,3,77,32,10022,2,40,29,2464
3569528,4,3655,32,10023,2,40,29,116960
3569539,3,498,32,10024,2,40,29,15936
3569595,2,72677,64,10025,2,80,58,4651328
3569709,3,6253,128,10026,1,128,128,800384
3569926,8,35,32,10027,2,40,29,1120
3570115,3,5697,64,10028,1,64,64,364608
3570138,3,32,32,10029,2,40,29,1024
3570159,3,228,32,10030,2,40,29,7296
3570236,3,1221,256,10031,1,256,256,312576
3570256,3,33,32,10032,2,40,29,1056
3570454,3,45,32,10033,2,40,29,1440
3570595,4,48,64,10034,1,64,64,3072
3570671,4,30,32,10035,2,40,29,960
3570717,4,438,32,10036,2,40,29,14016
3570757,3,6061,64,10037,2,80,58,387904
3570857,5,222,64,10038,1,64,64,14208
3570938,4,38,32,10039,2,40,29,1216
3571016,2,38,64,10040,1,64,64,2432
3571163,3,34,32,10041,2,40,29,1088
3571431,4,50,32,10042,2,40,29,1600
3571443,10,199,32,10043,2,40,29,6368
3571498,4,169,32,10044,2,40,29,5408
3571598,4,613,32,10045,2,40,29,19616
3571608,3,51,32,10046,2,40,29,1632
3571841,4,616,32,10047,2,40,29,19712
3571903,4,2580,32,10048,2,40,29,82560
3571940,4,1539,32,10049,2,40,29,49248
3572109,7,43,64,10050,2,80,58,2752
3572184,5,44,32,10051,2,40,29,1408
3572512,5,456,32,10052,2,40,29,14592
3572604,9,90,32,10053,2,40,29,2880
3572705,3,38,64,10054,2,80,58,2432
3572996,5,1315,256,10055,2,320,231,336640
3573166,4,436,32,10056,2,40,29,13952
3573191,4,568,32,10057,2,40,29,18176
3573206,4,81,32,10058,2,40,29,2592
3573213,3,43,64,10059,2,80,58,2752
3573609,15,3696,128,10060,2,160,116,473088
3573632,4,168,32,10061,2,40,29,5376
3573808,4,38,64,10062,2,80,58,2432
3574167,4,365,32,10063,2,40,29,11680
3574391,4,53,32,10064,2,40,29,1696
3574452,5,1231,32,10065,2,40,29,39392
3574507,3,933,64,10066,2,80,58,59712
3574531,498,5524,128,10067,2,160,116,707072
3574578,3,31,64,10068,2,80,58,1984
3574642,3,1768,256,10069,2,320,231,452608
3574657,7,491,32,10070,2,40,29,15712
3574886,5,78,32,10071,2,40,29,2496
3575076,3,36,64,10072,2,80,58,2304
3575211,755,9337,128,10073,2,160,116,1195136
3575216,5,53,32,10074,2,40,29,1696
3575341,5,392,32,10075,2,40,29,12544
3575428,7,80,32,10076,2,40,29,2560
3575505,6,590,32,10077,2,40,29,18880
3575667,5,41,64,10078,1,64,64,2624
3575775,2,16,64,10079,2,80,58,1024
3575821,4,217,64,10080,2,80,58,13888
3575830,3,848,64,10081,2,80,58,54272
