S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
19397347,11,74700,240,15001,2,324,144,17928000
19399133,0,116,200,15002,1,200,200,23200
19401618,5,462,1,15003,1,1,1,462
19402386,0,246,1,15004,2,2,1,246
19402940,2,84,36,15005,2,49,22,3024
19403044,1,83,36,15006,1,36,36,2988
19403080,1,227,1,15007,2,2,1,227
19403254,1,95,36,15008,2,49,22,3420
19403398,1,102,36,15009,1,36,36,3672
19403436,5,248,1,15010,2,2,1,248
19403570,4,241,36,15011,2,49,22,8676
19403803,1,147,36,15012,2,49,22,5292
19403957,6,1696,36,15013,1,36,36,61056
19403975,10,509,1,15014,1,1,1,509
19404009,3,398,1,15015,2,2,1,398
19404111,5,1730,36,15016,2,49,22,62280
19404443,9,1666,36,15017,2,49,22,59976
19404460,3,1591,36,15018,2,49,22,57276
19405647,0,9157,2000,15019,1,2000,2000,18314000
19405681,1,405,1,15020,2,2,1,405
19405871,6,146,200,15021,1,200,200,29200
19406472,0,499,1,15022,2,2,1,499
19406748,1,300,200,15023,2,270,120,60000
19407496,3,146,200,15024,2,270,120,29200
19407807,4,104,200,15025,1,200,200,20800
19408190,0,296,1,15026,1,1,1,296
19408207,11,458,1,15027,2,2,1,458
19408519,9,83,240,15028,2,324,144,19920
19408540,0,86400,2000,15029,2,2700,1200,172800000
19408546,6,135,240,15030,2,324,144,32400
19408572,2,102,240,15031,2,324,144,24480
19408766,0,1229,240,15032,1,240,240,294960
19408769,9,1062,1,15033,2,2,1,1062
19408783,11,1227,240,15034,2,324,144,294480
19408821,4,1229,240,15035,2,324,144,294960
19408947,1,1133,240,15036,2,324,144,271920
19409017,361,6929,2000,15037,2,2700,1200,13858000
19409331,0,62727,240,15038,2,324,144,15054480
19409371,7,1400,48,15039,2,65,29,67200
19409869,6731,843,2000,15040,2,2700,1200,1686000
19409869,2,62198,240,15041,2,324,144,14927520
19409889,4,47,20,15042,2,27,12,940
19409890,3,600,40,15043,2,54,24,24000
19409890,3,600,80,15044,2,108,48,48000
19409890,3,600,160,15045,2,216,96,96000
19409890,3,600,320,15046,2,432,192,192000
19409890,3,600,640,15047,2,864,384,384000
19409890,722,104,1280,15048,2,1728,768,133120
19409891,2933,143,2560,15049,2,3456,1536,366080
19409891,6416,122,5120,15050,2,6912,3072,624640
19409958,4,62096,240,15051,2,324,144,14903040
19409982,2842,59234,240,15052,2,324,144,14216160
19410009,2837,59212,240,15053,2,324,144,14210880
19410035,2932,59091,240,15054,1,240,240,14181840
19410064,1,1200,1,15055,2,2,1,1200
19410341,1,1567,20,15056,2,27,12,31340
19410347,11,1551,20,15057,2,27,12,31020
19410347,11,1563,20,15058,2,27,12,31260
19410348,10,1551,20,15059,2,27,12,31020
19410348,10,1551,20,15060,2,27,12,31020
19410348,10,1551,20,15061,2,27,12,31020
19410348,10,1563,20,15062,2,27,12,31260
19410349,9,1551,20,15063,2,27,12,31020
19410349,9,1563,20,15064,2,27,12,31260
19410349,9,1563,20,15065,2,27,12,31260
19410349,9,1563,20,15066,2,27,12,31260
