S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
19397347,11,74700,240,15001,1,240,240,17928000
19399133,0,116,200,15002,1,200,200,23200
19401618,5,462,1,15003,1,1,1,462
19402386,0,246,1,15004,1,1,1,246
19402940,2,84,36,15005,1,36,36,3024
19403044,1,83,36,15006,1,36,36,2988
19403080,1,227,1,15007,1,1,1,227
19403254,1,95,36,15008,1,36,36,3420
19403398,1,102,36,15009,1,36,36,3672
19403436,5,248,1,15010,1,1,1,248
19403570,4,241,36,15011,1,36,36,8676
19403803,1,147,36,15012,1,36,36,5292
19403957,6,1696,36,15013,1,36,36,61056
19403975,10,509,1,15014,1,1,1,509
19404009,3,398,1,15015,1,1,1,398
19404111,5,1730,36,15016,1,36,36,62280
19404443,9,1666,36,15017,1,36,36,59976
19404460,3,1591,36,15018,3,58,29,57276
19405647,0,9157,2000,15019,1,2000,2000,18314000
19405681,1,405,1,15020,2,2,1,405
19405871,6,146,200,15021,1,200,200,29200
19406472,0,499,1,15022,2,2,1,499
19406748,1,300,200,15023,3,320,160,60000
19407496,3,146,200,15024,1,200,200,29200
19407807,4,104,200,15025,1,200,200,20800
19408190,0,296,1,15026,1,1,1,296
19408207,11,458,1,15027,2,2,1,458
19408519,9,83,240,15028,2,324,144,19920
19408540,0,86400,2000,15029,3,3200,1600,172800000
19408546,6,135,240,15030,2,324,144,32400
19408572,2,102,240,15031,2,324,144,24480
19408766,0,1229,240,15032,1,240,240,294960
19408769,9,1062,1,15033,3,2,1,1062
19408783,11,1227,240,15034,2,324,144,294480
19408821,4,1229,240,15035,3,384,192,294960
19408947,1,1133,240,15036,3,384,192,271920
19409017,361,6929,2000,15037,2,2700,1200,13858000
19409331,0,62727,240,15038,1,240,240,15054480
19409371,7,1400,48,15039,2,65,29,67200
19409869,6731,843,2000,15040,3,3200,1600,1686000
19409869,2,62198,240,15041,1,240,240,14927520
19409889,4,47,20,15042,1,20,20,940
19409890,3,600,40,15043,1,40,40,24000
19409890,3,600,80,15044,1,80,80,48000
19409890,3,600,160,15045,2,216,96,96000
19409890,3,600,320,15046,2,432,192,192000
19409890,3,600,640,15047,2,864,384,384000
19409890,722,104,1280,15048,3,2048,1024,133120
19409891,2933,143,2560,15049,3,4096,2048,366080
19409891,6416,122,5120,15050,2,6912,3072,624640
19409958,4,62096,240,15051,3,384,192,14903040
19409982,2842,59234,240,15052,2,324,144,14216160
19410009,2837,59212,240,15053,2,324,144,14210880
19410035,2932,59091,240,15054,1,240,240,14181840
19410064,1,1200,1,15055,1,1,1,1200
19410341,1,1567,20,15056,1,20,20,31340
19410347,11,1551,20,15057,1,20,20,31020
19410347,11,1563,20,15058,1,20,20,31260
19410348,10,1551,20,15059,1,20,20,31020
19410348,10,1551,20,15060,1,20,20,31020
19410348,10,1551,20,15061,1,20,20,31020
19410348,10,1563,20,15062,1,20,20,31260
19410349,9,1551,20,15063,1,20,20,31020
19410349,9,1563,20,15064,1,20,20,31260
19410349,9,1563,20,15065,1,20,20,31260
19410349,9,1563,20,15066,1,20,20,31260
19410349,9,1563,20,15067,1,20,20,31260
19410350,8,1551,20,15068,1,20,20,31020
19410350,8,1551,20,15069,1,20,20,31020
19410350,8,1563,20,15070,1,20,20,31260
19410350,8,1563,20,15071,1,20,20,31260
19410351,7,1563,20,15072,1,20,20,31260
19410351,7,1563,20,15073,1,20,20,31260
19410351,7,1563,20,15074,1,20,20,31260
19410352,6,1563,20,15075,1,20,20,31260
19410352,6,1563,20,15076,1,20,20,31260
19410352,6,1563,20,15077,1,20,20,31260
19410352,6,1563,20,15078,1,20,20,31260
19410352,6,1563,20,15079,1,20,20,31260
19410352,6,1563,20,15080,1,20,20,31260
19410352,6,1563,20,15081,1,20,20,31260
19410353,5,1563,20,15082,1,20,20,31260
19410353,5,1563,20,15083,1,20,20,31260
19410353,5,1563,20,15084,1,20,20,31260
19410353,5,1563,20,15085,1,20,20,31260
19410353,5,1563,20,15086,1,20,20,31260
19410353,5,1563,20,15087,1,20,20,31260
19410353,5,1563,20,15088,1,20,20,31260
19410354,4,1563,20,15089,1,20,20,31260
19410354,4,1563,20,15090,1,20,20,31260
19410354,4,1563,20,15091,1,20,20,31260
19410354,4,1563,20,15092,1,20,20,31260
19410354,4,1563,20,15093,1,20,20,31260
19410354,4,1563,20,15094,1,20,20,31260
19410354,4,1563,20,15095,1,20,20,31260
19410355,3,1563,20,15096,1,20,20,31260
19410355,3,1563,20,15097,1,20,20,31260
19410355,3,1563,20,15098,1,20,20,31260
19410355,3,1563,20,15099,1,20,20,31260
19410355,3,1563,20,15100,1,20,20,31260
19410355,3,1563,20,15101,1,20,20,31260
19410355,3,1563,20,15102,1,20,20,31260
19410356,2,1563,20,15103,1,20,20,31260
19410356,2,1563,20,15104,1,20,20,31260
19410775,3,26598,80,15105,1,80,80,2127840
19410796,4,4551,80,15106,2,108,48,364080
19411583,5017,219,2400,15107,1,2400,2400,525600
19411794,0,104,40,15108,1,40,40,4160
19411801,5,47,20,15109,1,20,20,940
19411886,0,102,80,15110,1,80,80,8160
19411903,6,100,160,15111,2,216,96,16000
19411929,4,108,320,15112,2,432,192,34560
19411948,4359,122,256,15113,3,410,205,31232
19411957,9,75,640,15114,3,1024,512,48000
