id,S_ime,W_time,R_time,Processors,type,Max_resource,Min_resource
1,0,0,3691,128,1,128,128
2,465,5,3362,32,1,32,32
3,1906,12,626,512,1,512,512
4,3571,11,647,512,1,512,512
5,4009,7,3039,128,1,128,128
6,4031,5,6253,32,1,32,32
7,4346,15,2412,32,1,32,32
8,4393,5,986,32,1,32,32
9,4684,6,25,512,1,512,512
10,5705,3,1105,128,1,128,128
11,5872,52632,23087,128,1,128,128
12,5999,5,1609,32,1,32,32
13,6063,4,245,512,1,512,512
14,6765,4,8908,256,1,256,256
15,6796,4,300,64,1,64,64
16,6955,7,48,32,1,32,32
17,7071,5,23,32,1,32,32
18,7219,8,23,32,1,32,32
19,7307,3,441,128,1,128,128
20,7334,5,24,32,1,32,32
21,7444,5,122,32,1,32,32
22,7452,5,54,32,1,32,32
23,7464,5,13,32,1,32,32
24,7519,7,1936,32,1,32,32
25,7623,4,3945,32,1,32,32
26,7633,5,33,32,1,32,32
27,7721,7,35,32,1,32,32
28,7804,10,33,32,1,32,32
29,7935,5,26,32,1,32,32
30,8017,3,564,512,1,512,512
31,8113,6,46,32,1,32,32
32,8130,3,185,128,1,128,128
33,8308,8,97,32,1,32,32
34,8489,6,26,32,1,32,32
35,8619,8,25,32,1,32,32
36,8631,3,17,64,1,64,64
37,8653,4,17,32,1,32,32
38,8675,3,2815,64,1,64,64
39,8690,5,2797,32,1,32,32
40,8725,4,40,32,1,32,32
41,8856,6,39,32,1,32,32
42,8980,5,45,32,1,32,32
43,9104,6,35,32,1,32,32
44,9406,10,254,128,1,128,128
45,9488,5,49,32,1,32,32
46,9721,15,79,32,1,32,32
47,9811,7,28,512,1,512,512
48,9830,7,28,32,1,32,32
49,10227,12,6450,128,1,128,128
50,10257,5,27,32,1,32,32
51,10368,16,27,512,1,512,512
52,10402,4,138,128,1,128,128
53,10408,8,4514,32,1,32,32
54,10438,6,65,32,1,32,32
55,10448,5,302,512,1,512,512
56,10536,6,1002,32,1,32,32
57,10745,13,49,512,1,512,512
58,10800,11,52,512,1,512,512
59,10857,9,24,512,1,512,512
60,11008,4,8871,512,1,512,512
61,11290,0,34,32,1,32,32
62,11317,9,1453,64,1,64,64
63,11505,9,12,64,1,64,64
64,11527,5,13,32,1,32,32
65,11545,3,626,64,1,64,64
66,11559,5,612,32,1,32,32
67,11991,12,8264,64,1,64,64
68,12155,10,59,32,1,32,32
69,12228,6,500,32,1,32,32
70,12391,4,8641,128,1,128,128
71,12606,0,30,32,1,32,32
72,12624,6,19,64,1,64,64
73,12634,6,89,32,1,32,32
74,12651,7,15,32,1,32,32
75,12675,3,1945,64,1,64,64
76,12692,5,2192,32,1,32,32
77,12729,0,163,32,1,32,32
78,12793,4,130,32,1,32,32
79,12892,0,188,32,1,32,32
80,13080,0,226,32,1,32,32
81,13175,10,887,32,1,32,32
82,13297,12,5143,32,1,32,32
83,13306,0,186,32,1,32,32
84,13322,4,5092,32,1,32,32
85,13331,3,647,64,1,64,64
86,13345,4,58,32,1,32,32
87,13659,12,1358,32,1,32,32
88,13705,5,273,32,1,32,32
89,13777,0,154,32,1,32,32
90,14044,8,15,128,1,128,128
91,14258,5,674,64,1,64,64
92,14358,7,699,32,1,32,32
93,14369,5,65,32,1,32,32
94,14405,5,7952,128,1,128,128
95,14500,5,456,32,1,32,32
96,14717,7,1061,128,1,128,128
97,14751,4,18,64,1,64,64
98,14763,0,694,32,1,32,32
99,14774,6,15,32,1,32,32
100,14797,3,115,64,1,64,64
101,15013,26,24,64,1,64,64
102,15046,6,38,32,1,32,32
103,15183,3,327,64,1,64,64
104,15203,5,302,32,1,32,32
105,15210,3,8047,64,1,64,64
106,15218,4,1856,64,1,64,64
107,15289,9,98,64,1,64,64
108,15457,0,1054,32,1,32,32
109,15533,5,35,64,1,64,64
110,15575,7,21,32,1,32,32
111,15604,5,250,64,1,64,64
112,15697,155,205,64,1,64,64
113,15705,4,7906,64,1,64,64
114,16123,5,49,64,1,64,64
115,16163,8,18,32,1,32,32
116,16178,3,2529,64,1,64,64
117,16207,5,3892,32,1,32,32
