S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource
0,0,3691,128,1,1,128,128
465,5,3362,32,2,1,32,32
1906,12,626,512,3,1,512,512
3571,11,647,512,4,1,512,512
4009,7,3039,128,5,1,128,128
4031,5,6253,32,6,1,32,32
4346,15,2412,32,7,1,32,32
4393,5,986,32,8,1,32,32
4684,6,25,512,9,1,512,512
5705,3,1105,128,10,1,128,128
5872,52632,23087,128,11,1,128,128
5999,5,1609,32,12,1,32,32
6063,4,245,512,13,1,512,512
6765,4,8908,256,14,1,256,256
6796,4,300,64,15,1,64,64
6955,7,48,32,16,1,32,32
7071,5,23,32,17,1,32,32
7219,8,23,32,18,1,32,32
7307,3,441,128,19,1,128,128
7334,5,24,32,20,1,32,32
7444,5,122,32,21,1,32,32
7452,5,54,32,22,1,32,32
7464,5,13,32,23,1,32,32
7519,7,1936,32,24,1,32,32
7623,4,3945,32,25,1,32,32
7633,5,33,32,26,1,32,32
7721,7,35,32,27,1,32,32
7804,10,33,32,28,1,32,32
7935,5,26,32,29,1,32,32
8017,3,564,512,30,1,512,512
8113,6,46,32,31,1,32,32
8130,3,185,128,32,1,128,128
8308,8,97,32,33,1,32,32
8489,6,26,32,34,1,32,32
8619,8,25,32,35,1,32,32
8631,3,17,64,36,1,64,64
8653,4,17,32,37,1,32,32
8675,3,2815,64,38,1,64,64
8690,5,2797,32,39,1,32,32
8725,4,40,32,40,1,32,32
8856,6,39,32,41,1,32,32
8980,5,45,32,42,1,32,32
9104,6,35,32,43,1,32,32
9406,10,254,128,44,1,128,128
9488,5,49,32,45,1,32,32
9721,15,79,32,46,1,32,32
9811,7,28,512,47,1,512,512
9830,7,28,32,48,1,32,32
10227,12,6450,128,49,1,128,128
10257,5,27,32,50,1,32,32
10368,16,27,512,51,1,512,512
10402,4,138,128,52,1,128,128
10408,8,4514,32,53,1,32,32
10438,6,65,32,54,1,32,32
10448,5,302,512,55,1,512,512
10536,6,1002,32,56,1,32,32
10745,13,49,512,57,1,512,512
10800,11,52,512,58,1,512,512
10857,9,24,512,59,1,512,512
11008,4,8871,512,60,1,512,512
11290,0,34,32,61,1,32,32
11317,9,1453,64,62,1,64,64
11505,9,12,64,63,1,64,64
11527,5,13,32,64,1,32,32
11545,3,626,64,65,1,64,64
11559,5,612,32,66,1,32,32
11991,12,8264,64,67,1,64,64
12155,10,59,32,68,1,32,32
12228,6,500,32,69,1,32,32
12391,4,8641,128,70,1,128,128
12606,0,30,32,71,1,32,32
12624,6,19,64,72,1,64,64
12634,6,89,32,73,1,32,32
12651,7,15,32,74,1,32,32
12675,3,1945,64,75,1,64,64
12692,5,2192,32,76,1,32,32
12729,0,163,32,77,1,32,32
12793,4,130,32,78,1,32,32
12892,0,188,32,79,1,32,32
13080,0,226,32,80,1,32,32
13175,10,887,32,81,1,32,32
13297,12,5143,32,82,1,32,32
13306,0,186,32,83,1,32,32
13322,4,5092,32,84,1,32,32
13331,3,647,64,85,1,64,64
13345,4,58,32,86,1,32,32
13659,12,1358,32,87,1,32,32
13705,5,273,32,88,1,32,32
13777,0,154,32,89,1,32,32
14044,8,15,128,90,1,128,128
14258,5,674,64,91,1,64,64
14358,7,699,32,92,1,32,32
14369,5,65,32,93,1,32,32
14405,5,7952,128,94,1,128,128
14500,5,456,32,95,1,32,32
14717,7,1061,128,96,1,128,128
14751,4,18,64,97,1,64,64
14763,0,694,32,98,1,32,32
14774,6,15,32,99,1,32,32
14797,3,115,64,100,1,64,64
15013,26,24,64,101,1,64,64
15046,6,38,32,102,1,32,32
15183,3,327,64,103,1,64,64
15203,5,302,32,104,1,32,32
15210,3,8047,64,105,1,64,64
15218,4,1856,64,106,1,64,64
15289,9,98,64,107,1,64,64
15457,0,1054,32,108,1,32,32
15533,5,35,64,109,1,64,64
15575,7,21,32,110,1,32,32
15604,5,250,64,111,1,64,64
15697,155,205,64,112,1,64,64
15705,4,7906,64,113,1,64,64
16123,5,49,64,114,1,64,64
16163,8,18,32,115,1,32,32
16178,3,2529,64,116,1,64,64
16207,5,3892,32,117,1,32,32
16511,0,28,32,118,1,32,32
16539,0,230,32,119,1,32,32
17064,17,5106,32,120,1,32,32
17099,14,73,32,121,1,32,32
17365,21,414,32,122,1,32,32
17432,7,2628,32,123,1,32,32
17616,16,364,64,124,1,64,64
18298,17,1235,256,125,1,256,256
18597,9,22,32,126,1,32,32
18664,5,113,32,127,1,32,32
