S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
0,477768,35541,160,1,1,160,160,5686560
83558,1,432024,36,2,1,36,36,15552864
195861,1,278442,64,3,1,64,64,17820288
278659,2,268225,4,4,1,4,4,1072900
339016,1,305581,24,5,1,24,24,7333944
339299,1,214651,24,6,1,24,24,5151624
340144,1,432006,24,7,1,24,24,10368144
340462,2,370083,24,8,1,24,24,8881992
352289,2,109634,36,9,1,36,36,3946824
352352,1,98910,36,10,1,36,36,3560760
354700,2,86412,30,11,1,30,30,2592360
369016,1,180824,60,12,1,60,60,10849440
369082,1,292929,60,13,1,60,60,17575740
370503,1,246546,36,14,1,36,36,8875656
370553,1,163668,36,15,1,36,36,5892048
370731,2,157777,36,16,1,36,36,5679972
370775,1,160148,36,17,1,36,36,5765328
371887,1,319797,36,18,1,36,36,11512692
371996,1,432004,36,19,1,36,36,15552144
372052,1,432010,36,20,1,36,36,15552360
372423,2,432005,36,21,1,36,36,15552180
372462,1,432007,36,22,1,36,36,15552252
381544,1,169423,24,23,1,24,24,4066152
424136,1,84779,2,24,1,2,2,169558
426342,2,29600,12,25,1,12,12,355200
426353,1,29590,12,26,1,12,12,355080
426395,1,10142,12,27,1,12,12,121704
427487,2,25001,1,28,1,1,1,25001
427488,1,28157,1,29,1,1,1,28157
427488,1,26588,1,30,1,1,1,26588
427488,2,172812,1,31,1,1,1,172812
427489,1,28043,1,32,1,1,1,28043
427489,1,172812,1,33,1,1,1,172812
427489,1,29331,1,34,1,1,1,29331
427490,0,172812,1,35,1,1,1,172812
427490,6,25680,1,36,1,1,1,25680
427490,6,172806,1,37,1,1,1,172806
427491,5,27546,1,38,1,1,1,27546
427491,5,172806,1,39,1,1,1,172806
427491,5,29020,1,40,1,1,1,29020
427492,4,172806,1,41,1,1,1,172806
427492,4,26609,1,42,1,1,1,26609
427492,4,172806,1,43,1,1,1,172806
430397,1,6988,1,44,1,1,1,6988
430397,1,6849,1,45,1,1,1,6849
430397,1,6678,1,46,1,1,1,6678
430398,2,6600,1,47,1,1,1,6600
430398,2,7011,1,48,1,1,1,7011
430398,2,6808,1,49,1,1,1,6808
430399,1,6636,1,50,1,1,1,6636
430399,1,6528,1,51,1,1,1,6528
430418,1,86402,6,52,1,6,6,518412
430986,1,6700,1,53,1,1,1,6700
430987,0,10219,1,54,1,1,1,10219
430987,0,10219,1,55,1,1,1,10219
430987,2,7132,1,56,1,1,1,7132
430987,2,10217,1,57,1,1,1,10217
430988,1,10217,1,58,1,1,1,10217
430988,1,6918,1,59,1,1,1,6918
430988,1,155390,1,60,1,1,1,155390
430989,2,172811,1,61,1,1,1,172811
430989,2,7106,1,62,1,1,1,7106
430989,2,155944,1,63,1,1,1,155944
430990,1,172811,1,64,1,1,1,172811
430990,1,7588,1,65,1,1,1,7588
430990,1,151909,1,66,1,1,1,151909
430991,0,172811,1,67,1,1,1,172811
430991,3,7077,1,68,1,1,1,7077
430991,3,154066,1,69,1,1,1,154066
430992,2,172808,1,70,1,1,1,172808
430992,2,6906,1,71,1,1,1,6906
430992,2,154207,1,72,1,1,1,154207
430992,2,172808,1,73,1,1,1,172808
430993,1,6734,1,74,1,1,1,6734
430993,1,154609,1,75,1,1,1,154609
430994,2,172806,1,76,1,1,1,172806
431217,2,18491,4,77,1,4,4,73964
431466,1,7210,1,78,1,1,1,7210
431853,1,2702,1,79,1,1,1,2702
432282,1,7209,1,80,1,1,1,7209
433366,1,252,80,81,1,80,80,20160
433809,2,43,1,82,1,1,1,43
433872,2,20,1,83,1,1,1,20
433874,1,20,1,84,1,1,1,20
433875,1,20,1,85,1,1,1,20
433910,1,21,1,86,1,1,1,21
433910,1,21,1,87,1,1,1,21
433911,2,20,1,88,1,1,1,20
433912,1,20,1,89,1,1,1,20
433912,2,22,1,90,1,1,1,22
433913,1,22,1,91,1,1,1,22
433913,1,22,1,92,1,1,1,22
433914,2,21,1,93,1,1,1,21
433914,2,21,1,94,1,1,1,21
433938,1,8301,1,95,1,1,1,8301
434439,1,1749,80,96,1,80,80,139920
434723,1,11,1,97,1,1,1,11
434725,1,11,1,98,1,1,1,11
434726,1,12,1,99,1,1,1,12
434727,2,11,1,100,1,1,1,11
434729,1,11,1,101,1,1,1,11
434730,0,11,1,102,1,1,1,11
434834,1,10,1,103,1,1,1,10
435069,1,584,1,104,1,1,1,584
435075,1,599,1,105,1,1,1,599
435081,1,593,1,106,1,1,1,593
435150,1,1042,1,107,1,1,1,1042
435156,2,1119,1,108,1,1,1,1119
435162,2,1451,1,109,1,1,1,1451
435179,1,1091,1,110,1,1,1,1091
435185,1,3889,1,111,1,1,1,3889
435242,1,6356,1,112,1,1,1,6356
435249,1,6311,1,113,1,1,1,6311
435357,2,894,12,114,1,12,12,10728
435829,1,161,1,115,1,1,1,161
436205,1,7211,1,116,1,1,1,7211
437527,1,2396,60,117,1,60,60,143760
438107,1,17,24,118,1,24,24,408
438241,1,171,24,119,1,24,24,4104
438592,1,232,12,120,1,12,12,2784
439430,1,234,12,121,1,12,12,2808
439478,2,7205,1,122,1,1,1,7205
439611,1,101,12,123,1,12,12,1212
439647,1,7204,1,124,1,1,1,7204
439714,1,204,12,125,1,12,12,2448
439734,1,352,12,126,1,12,12,4224
439741,1,6544,1,127,1,1,1,6544
439749,1,6363,1,128,1,1,1,6363
439756,1,714,1,129,1,1,1,714
439762,2,747,1,130,1,1,1,747
439769,2,885,1,131,1,1,1,885
439775,1,3921,1,132,1,1,1,3921
439787,1,615,1,133,1,1,1,615
439793,1,646,1,134,1,1,1,646
439798,1,637,1,135,1,1,1,637
439806,2,4255,4,136,1,4,4,17020
439807,1,4184,4,137,1,4,4,16736
439807,1,4202,4,138,1,4,4,16808
439807,1,1904,4,139,1,4,4,7616
439808,2,2211,4,140,1,4,4,8844
439808,2,2191,4,141,1,4,4,8764
439808,2,4460,4,142,1,4,4,17840
439809,1,4356,4,143,1,4,4,17424
439815,2,1017,1,144,1,1,1,1017
439819,1,1305,1,145,1,1,1,1305
439824,1,1381,1,146,1,1,1,1381
439889,1,230,12,147,1,12,12,2760
440088,1,10,1,148,1,1,1,10
440146,2,722,1,149,1,1,1,722
440850,1,6372,80,150,1,80,80,509760
441252,1,19760,80,151,1,80,80,1580800
442473,1,179,24,152,1,24,24,4296
444090,1,178,24,153,1,24,24,4272
444562,2,613,24,154,1,24,24,14712
444837,1,6034,36,155,1,36,36,217224
444894,1,56,1,156,1,1,1,56
444952,1,109,1,157,1,1,1,109
445026,1,1322,36,158,1,36,36,47592
445062,1,46,1,159,1,1,1,46
445089,1,15907,1,160,1,1,1,15907
445110,2,4626,1,161,1,1,1,4626
445539,2,179,24,162,1,24,24,4296
445700,1,193,20,163,1,20,20,3860
445704,2,191,20,164,1,20,20,3820
445829,1,432005,24,165,1,24,24,10368120
445918,2,504,20,166,1,20,20,10080
445927,1,485,20,167,1,20,20,9700
446349,1,1076,1,168,1,1,1,1076
446487,1,938,1,169,1,1,1,938
446492,1,2652,1,170,1,1,1,2652
446697,1,3210,1,171,1,1,1,3210
446715,1,49,1,172,1,1,1,49
447351,2,7,4,173,1,4,4,28
447401,1,4,4,174,1,4,4,16
447611,1,970,1,175,1,1,1,970
447911,2,5425,1,176,1,1,1,5425
447973,1,6178,1,177,1,1,1,6178
448348,2,3539,1,178,1,1,1,3539
448987,1,81,1,179,1,1,1,81
449399,1,181,1,180,1,1,1,181
449738,1,65,4,181,1,4,4,260
449818,1,3382,1,182,1,1,1,3382
449977,1,7211,1,183,1,1,1,7211
450152,1,2056,4,184,1,4,4,8224
450969,2,86403,6,185,1,6,6,518418
451566,2,303,4,186,1,4,4,1212
452841,1,548,1,187,1,1,1,548
452846,1,1305,1,188,1,1,1,1305
453283,1,131,1,189,1,1,1,131
453338,2,500,12,190,1,12,12,6000
453428,2,195,80,191,1,80,80,15600
453444,1,146,80,192,1,80,80,11680
453752,1,80334,4,193,1,4,4,321336
453804,1,86412,4,194,1,4,4,345648
453832,1,1813,4,195,1,4,4,7252
453858,1,1788,4,196,1,4,4,7152
453880,1,16086,4,197,1,4,4,64344
453900,1,86418,4,198,1,4,4,345672
453923,2,86415,4,199,1,4,4,345660
453944,1,86418,4,200,1,4,4,345672
454033,1,30118,1,201,1,1,1,30118
454033,1,29463,1,202,1,1,1,29463
454034,2,28797,1,203,1,1,1,28797
454034,2,28021,1,204,1,1,1,28021
454034,2,6,1,205,1,1,1,6
454034,2,6,1,206,1,1,1,6
454035,1,27676,1,207,1,1,1,27676
454035,3,27056,1,208,1,1,1,27056
454035,3,26439,1,209,1,1,1,26439
454036,2,25771,1,210,1,1,1,25771
454036,2,6,1,211,1,1,1,6
454036,2,6,1,212,1,1,1,6
454308,2,1337,1,213,1,1,1,1337
454308,2,32213,1,214,1,1,1,32213
454309,1,31805,1,215,1,1,1,31805
454309,2,33934,1,216,1,1,1,33934
454310,1,33547,1,217,1,1,1,33547
455971,1,3822,12,218,1,12,12,45864
455976,2,12536,12,219,1,12,12,150432
456211,1,2686,1,220,1,1,1,2686
457210,1,150,12,221,1,12,12,1800
459357,2,347194,24,222,1,24,24,8332656
459909,1,17856,1,223,1,1,1,17856
459993,1,346400,24,224,1,24,24,8313600
460078,2,17681,1,225,1,1,1,17681
460351,1,1032,1,226,1,1,1,1032
460357,1,1402,1,227,1,1,1,1402
460424,2,546,1,228,1,1,1,546
460976,1,21,1,229,1,1,1,21
460988,1,2,32,230,1,32,32,64
461292,1,432011,24,231,1,24,24,10368264
461299,2,28804,60,232,1,60,60,1728240
461526,1,5973,1,233,1,1,1,5973
