S_time,W_time,R_time,Processors,id,type,Max_resource,Min_resource,Total_cost
0,0,3691,128,1,2,160,115,472448
465,5,3362,32,2,1,32,32,107584
1906,12,626,512,3,2,640,460,320512
3571,11,647,512,4,1,512,512,331264
4009,7,3039,128,5,2,160,115,388992
4031,5,6253,32,6,2,40,28,200096
4346,15,2412,32,7,1,32,32,77184
4393,5,986,32,8,2,40,28,31552
4684,6,25,512,9,2,640,460,12800
5705,3,1105,128,10,2,160,115,141440
5872,52632,23087,128,11,2,160,115,2955136
5999,5,1609,32,12,2,40,28,51488
6063,4,245,512,13,2,640,460,125440
6765,4,8908,256,14,2,320,230,2280448
6796,4,300,64,15,1,64,64,19200
6955,7,48,32,16,1,32,32,1536
7071,5,23,32,17,1,32,32,736
7219,8,23,32,18,1,32,32,736
7307,3,441,128,19,1,128,128,56448
7334,5,24,32,20,1,32,32,768
7444,5,122,32,21,1,32,32,3904
7452,5,54,32,22,1,32,32,1728
7464,5,13,32,23,2,40,28,416
7519,7,1936,32,24,2,40,28,61952
7623,4,3945,32,25,1,32,32,126240
7633,5,33,32,26,1,32,32,1056
7721,7,35,32,27,1,32,32,1120
7804,10,33,32,28,1,32,32,1056
7935,5,26,32,29,1,32,32,832
8017,3,564,512,30,1,512,512,288768
8113,6,46,32,31,1,32,32,1472
8130,3,185,128,32,1,128,128,23680
8308,8,97,32,33,1,32,32,3104
8489,6,26,32,34,1,32,32,832
8619,8,25,32,35,1,32,32,800
8631,3,17,64,36,1,64,64,1088
8653,4,17,32,37,2,40,28,544
8675,3,2815,64,38,1,64,64,180160
8690,5,2797,32,39,1,32,32,89504
8725,4,40,32,40,1,32,32,1280
8856,6,39,32,41,1,32,32,1248
8980,5,45,32,42,1,32,32,1440
9104,6,35,32,43,2,40,28,1120
9406,10,254,128,44,1,128,128,32512
9488,5,49,32,45,1,32,32,1568
9721,15,79,32,46,2,40,28,2528
9811,7,28,512,47,1,512,512,14336
9830,7,28,32,48,1,32,32,896
10227,12,6450,128,49,1,128,128,825600
10257,5,27,32,50,2,40,28,864
10368,16,27,512,51,1,512,512,13824
10402,4,138,128,52,1,128,128,17664
10408,8,4514,32,53,1,32,32,144448
10438,6,65,32,54,1,32,32,2080
10448,5,302,512,55,1,512,512,154624
10536,6,1002,32,56,1,32,32,32064
10745,13,49,512,57,1,512,512,25088
10800,11,52,512,58,2,640,460,26624
10857,9,24,512,59,1,512,512,12288
11008,4,8871,512,60,1,512,512,4541952
11290,0,34,32,61,2,40,28,1088
11317,9,1453,64,62,1,64,64,92992
11505,9,12,64,63,1,64,64,768
11527,5,13,32,64,2,40,28,416
11545,3,626,64,65,2,80,57,40064
11559,5,612,32,66,2,40,28,19584
11991,12,8264,64,67,1,64,64,528896
12155,10,59,32,68,1,32,32,1888
12228,6,500,32,69,1,32,32,16000
12391,4,8641,128,70,1,128,128,1106048
12606,0,30,32,71,1,32,32,960
12624,6,19,64,72,1,64,64,1216
12634,6,89,32,73,1,32,32,2848
12651,7,15,32,74,2,40,28,480
12675,3,1945,64,75,2,80,57,124480
12692,5,2192,32,76,1,32,32,70144
12729,0,163,32,77,1,32,32,5216
12793,4,130,32,78,1,32,32,4160
12892,0,188,32,79,1,32,32,6016
13080,0,226,32,80,2,40,28,7232
13175,10,887,32,81,1,32,32,28384
13297,12,5143,32,82,1,32,32,164576
13306,0,186,32,83,2,40,28,5952
13322,4,5092,32,84,2,40,28,162944
13331,3,647,64,85,1,64,64,41408
13345,4,58,32,86,2,40,28,1856
13659,12,1358,32,87,2,40,28,43456
13705,5,273,32,88,1,32,32,8736
13777,0,154,32,89,1,32,32,4928
14044,8,15,128,90,2,160,115,1920
14258,5,674,64,91,1,64,64,43136
14358,7,699,32,92,1,32,32,22368
14369,5,65,32,93,1,32,32,2080
14405,5,7952,128,94,2,160,115,1017856
14500,5,456,32,95,2,40,28,14592
14717,7,1061,128,96,1,128,128,135808
14751,4,18,64,97,1,64,64,1152
14763,0,694,32,98,1,32,32,22208
14774,6,15,32,99,2,40,28,480
14797,3,115,64,100,1,64,64,7360
15013,26,24,64,101,1,64,64,1536
15046,6,38,32,102,1,32,32,1216
15183,3,327,64,103,2,80,57,20928
15203,5,302,32,104,1,32,32,9664
15210,3,8047,64,105,2,80,57,515008
15218,4,1856,64,106,1,64,64,118784
15289,9,98,64,107,2,80,57,6272
15457,0,1054,32,108,1,32,32,33728
15533,5,35,64,109,1,64,64,2240
15575,7,21,32,110,2,40,28,672
15604,5,250,64,111,2,80,57,16000
15697,155,205,64,112,1,64,64,13120
15705,4,7906,64,113,1,64,64,505984
16123,5,49,64,114,1,64,64,3136
16163,8,18,32,115,1,32,32,576
16178,3,2529,64,116,2,80,57,161856
16207,5,3892,32,117,1,32,32,124544
16511,0,28,32,118,2,40,28,896
16539,0,230,32,119,2,40,28,7360
17064,17,5106,32,120,1,32,32,163392
17099,14,73,32,121,2,40,28,2336
17365,21,414,32,122,2,40,28,13248
17432,7,2628,32,123,2,40,28,84096
17616,16,364,64,124,2,80,57,23296
18298,17,1235,256,125,1,256,256,316160
18597,9,22,32,126,1,32,32,704
18664,5,113,32,127,1,32,32,3616
18864,7,34,32,128,1,32,32,1088
18918,5,25,32,129,2,40,28,800
19128,425,9104,256,130,1,256,256,2330624
19186,7,3938,64,131,1,64,64,252032
19354,5,49,32,132,2,40,28,1568
19395,3,2211,128,133,1,128,128,283008
19533,8,41,32,134,1,32,32,1312
19746,5,25,32,135,2,40,28,800
19813,5,129,64,136,1,64,64,8256
19875,11,12513,512,137,1,512,512,6406656
20141,19,35,32,138,1,32,32,1120
20380,6,26,32,139,1,32,32,832
20500,5,46,64,140,1,64,64,2944
20774,13,31,32,141,1,32,32,992
20907,5,59,32,142,1,32,32,1888
21561,23,968,128,143,1,128,128,123904
21590,13,68,32,144,2,40,28,2176
21725,11,478,32,145,2,40,28,15296
22007,6653,713,256,146,1,256,256,182528
22262,6,31,32,147,2,40,28,992
22374,9,1370,32,148,1,32,32,43840
22467,6,77,32,149,1,32,32,2464
22478,5,67,32,150,1,32,32,2144
22623,10,49,32,151,1,32,32,1568
22799,5,1427,128,152,1,128,128,182656
22848,4,10,32,153,1,32,32,320
22868,7,25,32,154,1,32,32,800
22949,5,1023,32,155,1,32,32,32736
23020,6,49,64,156,1,64,64,3136
23181,6,8460,128,157,1,128,128,1082880
23290,4,72,64,158,2,80,57,4608
23603,5,131,64,159,2,80,57,8384
23793,4,61,128,160,1,128,128,7808
23804,3,114,128,161,1,128,128,14592
23811,5,24,32,162,2,40,28,768
23919,6,297,32,163,1,32,32,9504
24009,7,28,64,164,1,64,64,1792
24021,5,123,32,165,1,32,32,3936
24127,4,7500,128,166,1,128,128,960000
24261,3,25,64,167,2,80,57,1600
24266,5,1015,32,168,1,32,32,32480
24281,4,45,32,169,2,40,28,1440
24447,7,3617,32,170,1,32,32,115744
24557,6,659,32,171,1,32,32,21088
24587,6,27,64,172,1,64,64,1728
24598,3,76,128,173,1,128,128,9728
24999,4,95,128,174,1,128,128,12160
25040,60,30,64,175,1,64,64,1920
25055,0,114,32,176,1,32,32,3648
25122,6527,347,128,177,1,128,128,44416
25222,0,59,32,178,2,40,28,1888
25279,4,847,64,179,1,64,64,54208
25425,6,35,32,180,1,32,32,1120
25428,0,250,32,181,2,40,28,8000
25576,6402,174,128,182,1,128,128,22272
25581,6,28,32,183,1,32,32,896
25644,7,119,32,184,1,32,32,3808
25747,4,77,32,185,1,32,32,2464
25890,0,58,32,186,1,32,32,1856
26266,9,111,32,187,1,32,32,3552
26644,6,35,32,188,1,32,32,1120
26659,10,65,32,189,1,32,32,2080
26844,7,27,32,190,1,32,32,864
26878,0,413,32,191,1,32,32,13216
27093,6,26,32,192,1,32,32,832
27230,0,61,32,193,2,40,28,1952
27291,0,779,32,194,1,32,32,24928
27305,7,40,32,195,1,32,32,1280
27383,5,25,32,196,1,32,32,800
27556,5,38,32,197,2,40,28,1216
27621,6,442,32,198,1,32,32,14144
27641,9,23,32,199,1,32,32,736
27647,0,25,32,200,1,32,32,800
